RefundID,OrderID,RefundDate,RefundAmount,RefundReason,RefundStatus
149,1867,2025-04-29,448.69,Delivery Delay,Approved
150,1873,2024-02-28,991.22,Missing Item,Approved
151,1875,2025-11-09,75.64,Payment Issue,Approved
152,1882,2024-05-09,162.82,Poor Food Quality,Approved
153,1886,2023-12-28,1517.96,Missing Item,Approved
154,1911,2024-03-28,953.42,Delivery Delay,processed
155,1926,2025-04-14,176.51,Payment Issue,Processed
156,1952,2025-05-27,793.52,Poor Food Quality,Approved
157,1967,2025-03-31,464.83,Missing Item,Rejected
158,1983,2025-06-15,1458.76,Delivery Delay,Approved
159,1993,2024-01-21,350.77,Missing Item,Approved
160,2028,2025-01-15,513.56,Poor Food Quality,Processed
161,2105,2025-02-02,1276.08,Missing Item,Approved
162,2124,2025-11-30,258.51,Payment Issue,Processed
163,2127,2026-02-12,233.04,Missing Item,Rejected
164,2144,2024-07-04,823.46,Delivery Delay,Approved
165,2157,2024-01-21,496.84,Poor Food Quality,Rejected
166,2172,2026-06-16,1731.38,Delivery Delay,Rejected
167,2179,2024-01-27,506.6,Missing Item,Processed
168,2187,2024-07-23,323.39,Payment Issue,Rejected
169,2204,2026-04-14,644.82,Missing Item,Requested
170,2238,2026-06-15,664.84,Missing Item,Rejected
171,2241,2025-10-24,329.44,Poor Food Quality,Approved
172,2250,2026-07-19,368.16,Missing Item,Approved
173,2292,2024-05-13,149.96,Delivery Delay,Approved
174,2301,2025-11-04,286.01,Delivery Delay,Processed
175,2316,2025-02-01,266.22,Delivery Delay,Approved
176,2332,2024-09-20,319.0,Payment Issue,Approved
177,2338,2024-06-14,1433.37,Payment Issue,Rejected
178,2339,2024-03-27,1904.81,Payment Issue,Approved
179,2354,2024-11-23,572.83,Poor Food Quality,Approved
180,2356,2026-07-10,168.8,Incorrect Order,Processed
181,2380,2024-03-12,322.17,Delivery Delay,Requested
182,2385,2026-01-31,356.79,Delivery Delay,Approved
183,2447,2025-07-18,411.17,Incorrect Order,Approved
184,2456,2025-10-14,871.7,Payment Issue,Processed
185,2460,2026-08-09,41.85,Delivery Delay,Requested
186,2480,2024-10-11,587.05,Delivery Delay,Requested
187,2494,2025-02-27,173.73,Missing Item,Approved
188,2506,2024-09-24,67.29,Payment Issue,Approved
189,2510,2024-02-25,56.46,Missing Item,Rejected
190,2517,2026-04-30,-564.15,Poor Food Quality,Approved
191,2581,2024-11-18,175.1,Missing Item,Processed
192,2601,2024-09-17,174.61,Poor Food Quality,Processed
193,2609,2025-12-07,558.02,Delivery Delay,Processed
194,2610,2024-05-08,417.43,Incorrect Order,Approved
195,2643,2024-11-06,98.6,Missing Item,Requested
196,2655,2025-06-30,692.41,Incorrect Order,Processed
197,2659,2026-05-19,86.87,Payment Issue,Rejected
198,2698,2026-05-24,159.04,Delivery Delay,Requested
199,2702,2024-06-25,1171.35,Delivery Delay,Requested
200,2707,2024-01-22,641.16,Missing Item,Approved
201,2713,2024-08-05,541.83,Missing Item,APPROVED
202,2719,2025-12-16,391.23,Payment Issue,Requested
203,2721,2024-12-12,540.66,Payment Issue,Processed
204,2727,2026-07-02,482.19,Poor Food Quality,Requested
205,2745,2024-06-19,757.33,Incorrect Order,Processed
206,2764,2026-01-15,285.69,Payment Issue,Processed
207,2785,2024-08-22,825.2,Incorrect Order,Rejected
208,2791,2024-04-06,711.13,Payment Issue,Requested
209,2797,2026-05-31,1090.96,Missing Item,Processed
210,2804,2025-06-04,1905.2,Poor Food Quality,Approved
211,2823,2025-03-11,84.68,Payment Issue,Rejected
212,2827,2025-01-09,902.64,Poor Food Quality,Rejected
213,2831,2024-04-23,150.96,Missing Item,Processed
214,2843,2024-06-08,884.73,Payment Issue,Processed
215,2848,2025-01-12,202.98,Missing Item,Processed
216,2849,2024-07-29,431.74,Incorrect Order,Approved
217,2857,2026-06-27,1574.6,Missing Item,Requested
218,2863,2025-05-20,601.78,Poor Food Quality,Processed
219,2874,2024-03-01,592.12,Payment Issue,Requested
220,2889,2026-04-29,69.13,Missing Item,Requested
221,2891,2024-10-15,343.98,Poor Food Quality,Approved
222,2900,2025-09-18,589.23,Payment Issue,Requested
223,2945,2025-10-28,1132.75,Incorrect Order,Approved
224,2975,2024-12-01,600.84,Missing Item,Approved
225,2991,2025-12-08,767.48,Missing Item,Requested
226,2999,2025-12-07,286.79,Missing Item,Rejected
227,3005,2026-03-18,669.8,Incorrect Order,Approved
228,3012,2025-03-12,559.41,Delivery Delay,Processed
229,3014,2024-09-19,936.42,Delivery Delay,Processed
230,3063,2025-06-11,665.33,Incorrect Order,Processed
231,3072,2026-08-06,-641.42,Delivery Delay,Approved
232,3084,2026-05-18,675.97,Payment Issue,Processed
233,3090,2024-06-10,262.42,Delivery Delay,Approved
234,3096,2026-04-06,500.95,Missing Item,Approved
235,3119,2024-07-17,661.34,Payment Issue,Requested
236,3167,2024-02-29,217.19,Delivery Delay,Approved
237,3169,2024-01-11,365.88,Payment Issue,Processed
238,3197,2025-08-17,77.6,Payment Issue,Processed
239,3203,2025-06-02,499.23,Delivery Delay,Approved
240,3204,2025-11-08,324.69,Delivery Delay,Rejected
241,3206,2025-11-26,1050.6,Delivery Delay,Approved
242,3209,2024-06-05,381.06,Missing Item,Processed
243,3226,2024-01-18,416.41,Incorrect Order,Approved
244,3229,2024-02-17,177.39,Incorrect Order,Processed
245,3258,2025-03-18,73.12,Delivery Delay,Processed
246,3279,2025-03-13,966.58,Delivery Delay,Processed
247,3282,2026-06-05,546.15,Delivery Delay,Processed
248,3299,2024-11-28,545.59,Missing Item,Requested
249,3321,2025-09-18,269.22,Poor Food Quality,Rejected
250,3332,2025-09-20,407.83,Payment Issue,Approved
251,3369,2025-08-19,379.95,Delivery Delay,Processed
252,3370,2024-06-17,17.66,Payment Issue,Requested
253,3384,2024-06-15,448.51,Payment Issue,Requested
254,3416,2024-08-12,598.97,Missing Item,Approved
255,3417,2024-04-07,1669.9,Payment Issue,Rejected
256,3425,2024-07-03,527.8,Poor Food Quality,Approved
257,3426,2025-04-29,537.99,Incorrect Order,Approved
258,3437,2024-10-22,266.91,Missing Item,Approved
259,3438,2024-02-25,850.17,Payment Issue,Processed
260,3445,2025-12-31,90.81,Poor Food Quality,Approved
261,3447,2024-06-19,1104.97,Delivery Delay,Processed
262,3461,2026-01-26,277.07,Delivery Delay,Rejected
263,3482,2024-09-16,488.2,Incorrect Order,Rejected
264,3484,2025-10-08,179.58,Delivery Delay,Approved
265,3497,2023-12-17,779.35,Payment Issue,Approved
266,3508,2025-12-21,234.68,Poor Food Quality,Processed
267,3531,2024-12-08,495.31,Payment Issue,Processed
268,3534,2026-01-20,684.82,Missing Item,Approved
269,3545,2024-10-08,939.8,Missing Item,Approved
270,3552,2026-08-15,693.42,Delivery Delay,Rejected
271,3563,2025-06-27,312.49,Payment Issue,Approved
272,3610,2026-06-15,1165.44,Payment Issue,Approved
273,3613,2025-04-27,388.23,Payment Issue,Requested
274,3638,2025-06-09,1724.17,Payment Issue,Processed
275,3664,2024-07-28,430.94,Poor Food Quality,Rejected
276,3665,2024-03-06,146.2,Missing Item,Processed
277,3676,2024-01-07,305.82,Missing Item,Rejected
278,3686,2024-09-25,401.29,Payment Issue,Rejected
279,3691,2025-06-02,634.4,Missing Item,Rejected
280,3703,2025-03-05,624.85,Missing Item,Processed
281,3705,2025-07-08,895.57,Missing Item,Processed
282,3711,2025-06-19,454.92,Missing Item,Processed
283,3717,2025-02-11,823.13,Payment Issue,Approved
284,3729,2026-04-12,41.59,Missing Item,Rejected
285,3730,2024-02-21,484.63,Payment Issue,Processed
286,3744,2024-09-16,350.52,Delivery Delay,Rejected
287,3749,2026-01-04,530.39,Poor Food Quality,APPROVED
288,3770,2025-07-09,376.16,Missing Item,Approved
289,3775,2026-01-10,961.92,Incorrect Order,Processed
290,3789,2025-09-28,339.07,Incorrect Order,Approved
291,3796,2025-02-17,721.77,Payment Issue,Approved
292,3800,2024-08-31,1453.05,Poor Food Quality,Processed
293,3817,2026-05-06,659.68,Incorrect Order,Processed
294,3820,2025-07-19,452.42,Missing Item,Approved
295,3826,2024-12-03,411.87,Poor Food Quality,Approved
296,3831,2025-09-25,1095.48,Incorrect Order,Approved
297,3843,2026-04-28,467.78,Incorrect Order,Requested
298,3856,2024-04-08,162.51,Incorrect Order,Approved
299,3878,2025-01-23,747.02,Missing Item,Requested
300,3884,2025-08-20,539.27,Delivery Delay,Requested
301,3889,2024-06-18,1986.62,Payment Issue,Processed
302,3900,2024-09-01,289.02,Missing Item,Approved
303,3903,2025-12-21,274.55,Poor Food Quality,Approved
304,3932,2025-02-21,583.74,Incorrect Order,Requested
305,4019,2024-02-18,590.92,Poor Food Quality,Processed
306,4020,2024-07-04,2001.16,Missing Item,Rejected
307,4024,2024-01-02,193.95,Payment Issue,Processed
308,4035,2024-12-24,318.76,Payment Issue,Processed
309,4060,2025-11-11,68.54,Payment Issue,Processed
310,4071,2026-05-19,131.83,Delivery Delay,Processed
311,4072,2024-04-24,555.89,Delivery Delay,Processed
312,4075,2024-03-24,595.68,Poor Food Quality,Approved
313,4097,2026-07-30,236.87,Missing Item,Approved
314,4103,2025-05-14,572.78,Poor Food Quality,Approved
315,4105,2026-07-22,1730.87,Incorrect Order,Approved
316,4125,2026-06-06,165.75,Incorrect Order,Approved
317,4137,2024-10-18,950.94,Poor Food Quality,Processed
318,4184,2026-04-08,1297.94,Poor Food Quality,Requested
319,4220,2026-07-11,486.74,Poor Food Quality,Approved
320,4238,2024-06-07,211.88,Poor Food Quality,Rejected
321,4239,2026-02-22,157.63,Incorrect Order,Rejected
322,4246,2025-07-28,212.24,Incorrect Order,Requested
323,4266,2026-01-14,950.2,Payment Issue,Requested
324,4271,2025-11-23,-444.03,Incorrect Order,Processed
325,4273,2026-05-22,378.69,Incorrect Order,Processed
326,4281,2024-09-08,573.49,Payment Issue,Approved
327,4296,2025-04-01,526.04,Poor Food Quality,Approved
328,4327,2025-11-01,56.87,Missing Item,Processed
329,4348,2024-09-29,957.89,Incorrect Order,Approved
330,4351,2024-11-01,211.02,Incorrect Order,Processed
331,4352,2025-02-23,865.78,Payment Issue,Rejected
332,4353,2025-09-07,155.14,Missing Item,Approved
333,4374,2025-06-27,432.1,Payment Issue,Requested
334,4401,2025-05-07,384.75,Delivery Delay,Processed
335,4415,2024-08-11,504.58,Delivery Delay,Processed
336,4416,2026-02-09,433.97,Missing Item,Processed
337,4458,2024-09-04,36.57,Payment Issue,Approved
338,4469,2025-10-21,1011.72,Payment Issue,Approved
339,4512,2024-08-24,2329.04,Incorrect Order,Processed
340,4519,2026-04-10,279.15,Incorrect Order,Approved
341,4530,2025-11-27,1020.89,Payment Issue,Processed
342,4534,2026-07-28,148.22,Poor Food Quality,Requested
343,4579,2025-03-16,265.29,Payment Issue,Processed
344,4585,2025-05-11,95.87,Payment Issue,Processed
345,4641,2024-05-31,289.44,Poor Food Quality,Approved
346,4642,2026-02-21,688.43,Missing Item,Rejected
347,4648,2025-10-26,831.26,Payment Issue,Processed
348,4690,2025-08-25,671.19,Delivery Delay,Approved
349,4704,2024-03-28,694.44,Poor Food Quality,Approved
350,4729,2025-02-15,608.38,Incorrect Order,approved
351,4731,2025-04-22,699.6,Poor Food Quality,Approved
352,4745,2024-02-19,636.87,Poor Food Quality,Processed
353,4793,2024-05-09,1750.8,Incorrect Order,Requested
354,4819,2026-07-15,120.77,Incorrect Order,Processed
355,4832,2024-09-28,98.68,Poor Food Quality,Approved
356,4833,2025-06-16,255.2,Delivery Delay,Requested
357,4838,2024-05-28,940.13,Poor Food Quality,Rejected
358,4845,2023-12-16,73.42,Payment Issue,Approved
359,4849,2025-09-19,83.24,Delivery Delay,Approved
360,4852,2025-10-26,306.45,Payment Issue,Processed
361,4861,2026-07-10,552.06,Delivery Delay,Approved
362,4894,2025-04-16,770.4,Missing Item,Requested
363,4934,2025-09-27,611.79,Incorrect Order,Approved
364,4953,2025-02-05,1302.67,Poor Food Quality,Processed
365,4957,2025-02-08,601.96,Incorrect Order,Approved
366,4973,2026-04-29,158.48,Missing Item,Approved
367,4979,2025-04-22,429.79,Payment Issue,Approved
368,4990,2024-03-18,261.65,Missing Item,Requested
369,5027,2025-02-03,822.56,Delivery Delay,Processed
370,5037,2025-06-05,94.82,Poor Food Quality,Approved
371,5040,2024-03-11,239.84,Delivery Delay,APPROVED
372,5047,2024-04-10,249.82,Incorrect Order,Requested
373,5050,2025-07-25,68.44,Missing Item,PROCESSED
374,5061,2026-07-28,661.68,Delivery Delay,Rejected
375,5070,2024-03-12,373.23,Poor Food Quality,Approved
376,5083,2026-04-10,677.79,Poor Food Quality,Rejected
377,5089,2024-09-05,527.05,Poor Food Quality,Processed
378,5114,2026-07-27,29.57,Poor Food Quality,Rejected
379,5151,2024-11-29,1591.97,Incorrect Order,Processed
380,5159,2024-01-22,420.51,Poor Food Quality,Requested
381,5176,2024-02-25,1645.11,Incorrect Order,Processed
382,5195,2025-10-21,317.8,Missing Item,Requested
383,5196,2026-08-07,1369.25,Missing Item,Requested
384,5220,2026-08-11,171.81,Incorrect Order,Processed
385,5224,2024-12-29,529.05,Delivery Delay,Approved
386,5236,2024-10-08,207.85,Delivery Delay,Approved
387,5244,2025-11-16,117.57,Payment Issue,Processed
388,5247,2025-05-03,272.89,Delivery Delay,Approved
389,5249,2026-03-28,146.91,Delivery Delay,Processed
390,5251,2024-11-10,785.9,Incorrect Order,Approved
391,5255,2024-09-22,184.54,Poor Food Quality,Approved
392,5258,2026-03-16,152.97,Incorrect Order,Requested
393,5276,2025-09-28,469.5,Delivery Delay,Processed
394,5287,2026-03-23,930.18,Incorrect Order,Processed
395,5292,2025-11-08,868.18,Poor Food Quality,Requested
396,5296,2025-03-14,1015.79,Poor Food Quality,Requested
397,5309,2024-02-15,40.1,Incorrect Order,Processed
398,5313,2026-07-02,285.4,Payment Issue,Approved
399,5369,2024-12-31,1480.7,Delivery Delay,Processed
400,5376,2025-09-24,192.23,Delivery Delay,Approved
401,5384,2026-02-06,-250.82,Incorrect Order,Processed
402,5406,2024-10-13,634.84,Delivery Delay,Rejected
403,5410,2024-10-29,119.81,Missing Item,Processed
404,5411,2025-11-16,312.57,Incorrect Order,Approved
405,5421,2024-03-23,542.54,Payment Issue,Approved
406,5430,2024-05-24,500.94,Poor Food Quality,Approved
407,5434,2025-07-30,959.43,Poor Food Quality,Approved
408,5447,2025-01-05,239.76,Incorrect Order,Requested
409,5453,2024-04-02,226.74,Incorrect Order,approved
410,5465,2023-12-24,603.82,Poor Food Quality,Approved
411,5467,2025-12-06,566.22,Incorrect Order,Processed
412,5473,2025-02-06,1246.63,Poor Food Quality,Processed
413,5491,2025-06-22,193.96,Incorrect Order,Approved
414,5497,2024-06-08,25.99,Poor Food Quality,Processed
415,5517,2026-01-12,850.35,Delivery Delay,Processed
416,5561,2024-01-16,191.9,Delivery Delay,Processed
417,5562,2025-08-04,165.7,Delivery Delay,Processed
418,5573,2024-09-14,192.6,Incorrect Order,Approved
419,5574,2026-01-24,402.01,Incorrect Order,Processed
420,5575,2024-11-03,423.22,Missing Item,Approved
421,5580,2025-11-10,603.7,Delivery Delay,Rejected
422,5586,2025-12-12,37.74,Incorrect Order,Approved
423,5588,2024-07-27,811.74,Delivery Delay,Processed
424,5592,2025-01-25,1454.88,Delivery Delay,Rejected
425,5603,2026-06-28,492.76,Incorrect Order,Requested
426,5613,2025-08-28,1752.8,Incorrect Order,Requested
427,5692,2024-01-08,1089.73,Poor Food Quality,Approved
428,5751,2026-01-03,942.9,Incorrect Order,Rejected
429,5772,2025-04-27,618.91,Missing Item,Requested
430,5773,2025-09-09,300.81,Poor Food Quality,Rejected
431,5778,2025-05-22,217.36,Payment Issue,Processed
432,5785,2025-12-20,820.58,Incorrect Order,Rejected
433,5792,2025-05-21,265.0,Poor Food Quality,Requested
434,5809,2024-08-02,350.47,Incorrect Order,Processed
435,5833,2024-05-25,267.62,Incorrect Order,Processed
436,5843,2024-05-28,153.17,Missing Item,Processed
437,5857,2024-01-27,190.87,Missing Item,Approved
438,5877,2025-04-19,818.84,Missing Item,Processed
439,5912,2025-08-21,596.38,Missing Item,Processed
440,5927,2025-03-18,633.53,Incorrect Order,Approved
441,5931,2026-07-27,443.35,Payment Issue,Rejected
442,5960,2025-11-18,1082.89,Delivery Delay,Requested
443,5983,2024-03-09,528.15,Delivery Delay,Processed
444,5984,2025-01-01,662.11,Incorrect Order,Rejected
445,5997,2025-01-15,66.33,Delivery Delay,Processed
446,6007,2025-05-22,160.26,Missing Item,Approved
447,6017,2025-05-15,42.49,Poor Food Quality,Approved
448,6023,2026-03-08,418.32,Missing Item,Rejected
449,6027,2024-02-15,194.31,Incorrect Order,Requested
450,6028,2024-08-02,276.73,Missing Item,Processed
451,6044,2025-09-07,1058.64,Missing Item,Approved
452,6046,2024-11-20,348.11,Missing Item,Approved
453,6072,2024-06-05,546.88,Poor Food Quality,Approved
454,6108,2024-01-09,897.02,Incorrect Order,Approved
455,6112,2024-09-04,349.67,Missing Item,Approved
456,6130,2025-05-27,180.95,Delivery Delay,Rejected
457,6145,2026-08-02,807.68,Incorrect Order,Approved
458,6163,2024-06-06,123.04,Delivery Delay,Processed
459,6171,2025-12-30,182.12,Delivery Delay,Rejected
460,6175,2024-03-22,285.57,Delivery Delay,Approved
461,6229,2024-01-02,491.21,Missing Item,Processed
462,6241,2025-04-03,48.45,Delivery Delay,Approved
463,6245,2024-04-23,173.72,Incorrect Order,Processed
464,6248,2026-04-04,1215.73,Missing Item,Approved
465,6262,2025-07-16,372.34,Delivery Delay,Rejected
466,6317,2024-03-23,625.12,Incorrect Order,Approved
467,6321,2026-03-17,90.59,Delivery Delay,Requested
468,6338,2025-05-10,458.99,Payment Issue,Processed
469,6357,2024-04-27,540.18,Poor Food Quality,Requested
470,6388,2026-03-14,131.13,Incorrect Order,Approved
471,6405,2024-08-10,1279.63,Payment Issue,Processed
472,6408,2024-08-15,808.91,Missing Item,Rejected
473,6418,2026-04-22,753.46,Payment Issue,Approved
474,6419,2026-04-20,1013.93,Payment Issue,Processed
475,6493,2025-10-29,372.86,Incorrect Order,Processed
476,6500,2026-06-23,1352.9,Payment Issue,Approved
477,6513,2026-03-06,1668.41,Delivery Delay,Processed
478,6517,2024-07-03,118.35,Delivery Delay,Processed
479,6540,2025-08-10,177.78,Payment Issue,Processed
480,6541,2025-02-18,776.46,Incorrect Order,Approved
481,6550,2026-02-24,265.87,Missing Item,Processed
482,6569,2025-09-18,239.07,Missing Item,Requested
483,6578,2026-03-27,636.7,Delivery Delay,Rejected
484,6582,2026-04-26,1252.7,Incorrect Order,Approved
485,6601,2026-02-01,1176.58,Missing Item,Processed
486,6647,2024-02-06,409.75,Payment Issue,Rejected
487,6668,2025-11-25,127.73,Incorrect Order,Processed
488,6672,2025-06-24,-621.28,Payment Issue,Approved
489,6690,2025-06-20,1979.25,Payment Issue,Processed
490,6694,2025-03-08,589.25,Delivery Delay,Processed
491,6715,2025-10-28,981.23,Payment Issue,Approved
492,6729,2026-04-22,1083.41,Delivery Delay,Processed
493,6753,2025-02-22,268.47,Incorrect Order,Approved
494,6755,2024-12-04,113.23,Payment Issue,Rejected
495,6765,2025-02-19,59.45,Payment Issue,Requested
496,6777,2026-02-24,409.52,Delivery Delay,Processed
497,6784,2026-06-17,473.72,Poor Food Quality,Approved
498,6786,2025-05-25,83.13,Missing Item,Approved
499,6805,2025-09-07,392.66,Missing Item,Processed
500,6806,2025-03-04,1572.03,Missing Item,Processed
501,6825,2024-03-30,776.44,Poor Food Quality,Approved
502,6852,2025-03-26,793.87,Payment Issue,Processed
