WastageID,BranchID,IngredientID,WastageDate,WastageQuantity,WastageReason,EstimatedWastageCost
473,1,55,2025-03-15,7.01,Spoilage,933.8
474,1,46,2025-03-27,7.64,Overproduction,591.41
475,1,44,2025-03-04,18.78,Storage Issue,3805.02
476,1,5,2025-03-12,9.42,Expired,1212.07
477,1,30,2025-03-16,7.27,Expired,2475.0
478,1,40,2025-03-15,23.45,Expired,2579.97
479,1,54,2025-03-20,13.97,Spoilage,753.12
480,1,50,2025-03-24,9.88,Expired,1462.24
481,1,61,2025-03-16,17.48,Quality Issue,1956.19
482,1,16,2025-03-01,36.91,Spoilage,12576.71
483,1,6,2025-03-19,14.74,Quality Issue,3631.05
484,1,19,2025-03-02,19.47,Overproduction,6050.11
485,1,4,2025-03-09,12.78,Spoilage,662.39
486,1,17,2025-03-19,19.3,Preparation Error,6401.62
487,1,65,2025-03-06,27.57,Expired,3318.33
488,1,11,2025-03-12,25.49,Expired,4261.93
489,1,57,2025-03-01,33.66,Expired,4943.98
490,1,29,2025-03-25,13.11,Overproduction,2967.84
491,1,26,2025-03-06,31.62,Expired,4959.6
492,1,47,2025-03-17,8.28,Expired,1526.09
493,1,2,2025-03-06,21.63,Storage Issue,3148.46
494,1,20,2025-03-16,16.02,Quality Issue,2350.13
495,1,64,2025-03-21,31.54,Expired,4569.83
496,1,55,2025-04-10,35.65,Expired,885.9
497,1,56,2025-04-06,12.15,Preparation Error,2252.49
498,1,10,2025-04-22,23.66,Overproduction,1690.74
499,1,29,2025-04-27,34.23,Preparation Error,2080.16
500,1,24,2025-04-23,7.94,Quality Issue,1018.94
501,1,46,2025-04-27,26.03,Expired,4861.36
502,1,39,2025-04-06,15.72,Storage Issue,1718.51
503,1,2,2025-04-12,19.72,Preparation Error,2322.82
504,1,42,2025-04-24,12.65,Storage Issue,2971.23
