ReviewID,CustomerID,OrderID,ProductID,BranchID,ReviewDate,Rating,ReviewText,SentimentCategory
56,136,1904,15,5,2025-06-25,5,"Friendly staff and tasty food, will order again.",Positive
57,1664,11627,39,11,2024-02-18,4,"Great taste and hot, fresh delivery.",Positive
58,12395,20567,9,4,2025-01-18,4,"Friendly staff and tasty food, will order again.",Positive
59,10694,6957,15,12,2026-07-29,5,"Friendly staff and tasty food, will order again.",Positive
60,4620,3177,14,12,2026-01-12,4,"Great taste and hot, fresh delivery.",Positive
61,7745,13223,71,19,2024-02-23,4,"Friendly staff and tasty food, will order again.",Positive
62,4046,32463,18,2,2024-05-29,4,One of the best QSR experiences in the city.,POSITIVE
63,414,39255,2,5,2025-07-09,4,"Great taste and hot, fresh delivery.",Positive
64,11118,10200,57,5,2024-09-23,5,"Absolutely loved the food, quick service too!",Positive
65,3348,3045,70,12,2025-11-19,4,"Absolutely loved the food, quick service too!",Positive
66,1965,27295,37,5,2025-05-27,4,"Absolutely loved the food, quick service too!",Positive
67,5150,15018,18,5,2025-07-07,4,"Absolutely loved the food, quick service too!",Positive
68,1621,29478,33,3,2024-11-11,4,"Friendly staff and tasty food, will order again.",Positive
69,5752,14273,30,16,2024-11-30,5,,Positive
70,10895,28566,36,5,2026-03-26,5,Perfectly cooked and packed really well.,Positive
71,119,36970,66,20,2025-12-19,5,"Great taste and hot, fresh delivery.",Positive
72,5615,18688,20,3,2024-08-20,5,"Absolutely loved the food, quick service too!",Positive
73,1538,15026,8,5,2024-06-08,4,"Friendly staff and tasty food, will order again.",POSITIVE
74,5631,10908,16,20,2024-06-18,3,"Average experience, delivery took a bit long.",Neutral
75,9075,28376,39,11,2026-03-13,4,Perfectly cooked and packed really well.,Positive
76,10826,751,19,5,2024-08-20,3,"Food was okay, nothing special.",Neutral
77,6347,30906,26,5,2026-02-18,5,"Friendly staff and tasty food, will order again.",Positive
78,4714,12947,55,5,2024-11-18,5,"Great taste and hot, fresh delivery.",Positive
79,7440,27656,55,10,2025-12-22,4,"Absolutely loved the food, quick service too!",Positive
80,3418,14508,70,8,2025-01-30,2,Way too oily and not fresh at all.,Negative
81,5172,8904,56,12,2023-12-31,4,One of the best QSR experiences in the city.,Positive
82,4551,27010,3,2,2026-02-22,2,"Extremely disappointed, will not order again.",Negative
83,7068,34439,56,15,2025-03-22,3,,Neutral
84,12085,12088,39,8,2024-10-05,5,"Friendly staff and tasty food, will order again.",Positive
85,3223,40789,16,8,2024-04-17,5,,Positive
86,4056,37247,60,9,2025-08-15,5,"Absolutely loved the food, quick service too!",Positive
87,8680,27738,40,5,2025-09-03,2,Food arrived cold and soggy.,Negative
88,5248,25952,34,5,2025-08-20,4,"Absolutely loved the food, quick service too!",Positive
89,12286,21874,41,5,2024-05-25,4,"Great taste and hot, fresh delivery.",Positive
90,11179,6535,56,5,2024-05-19,4,"Great taste and hot, fresh delivery.",Positive
91,7512,11258,44,16,2025-12-27,3,"Food was okay, nothing special.",Neutral
92,5288,7589,47,17,2025-12-28,3,Decent taste but portion size could be better.,Neutral
93,7119,16040,2,8,2024-09-27,5,"Absolutely loved the food, quick service too!",Positive
94,9919,9912,42,17,2024-08-31,5,"Great taste and hot, fresh delivery.",Positive
95,342,10558,11,5,2026-05-17,2,Food arrived cold and soggy.,Negative
96,8757,29776,56,15,2025-09-19,5,One of the best QSR experiences in the city.,Positive
97,10811,11060,36,5,2025-09-25,4,"Great taste and hot, fresh delivery.",Positive
98,1411,25293,7,12,2025-12-15,1,,Negative
99,6002,11623,27,12,2024-01-10,5,"Absolutely loved the food, quick service too!",Positive
100,4446,2258,23,9,2025-02-22,1,Order was incorrect and staff was unhelpful.,Negative
101,11368,19523,69,6,2025-05-12,5,,Negative
102,9039,27843,3,8,2025-07-26,5,One of the best QSR experiences in the city.,Positive
103,3534,23781,68,11,2024-06-26,5,"Friendly staff and tasty food, will order again.",Positive
104,6244,2129,44,5,2026-05-16,3,Decent taste but portion size could be better.,Neutral
105,8825,19420,10,16,2025-11-13,1,Order was incorrect and staff was unhelpful.,Negative
106,6860,28842,18,12,2024-01-11,4,Perfectly cooked and packed really well.,Positive
107,8255,22246,22,15,2025-02-16,3,,Neutral
108,7325,18555,12,16,2026-04-06,2,Order was incorrect and staff was unhelpful.,Negative
109,4162,38466,48,3,2026-06-19,5,One of the best QSR experiences in the city.,Positive
110,7566,36890,69,6,2026-02-07,4,Perfectly cooked and packed really well.,Positive
111,101,38346,39,13,2025-06-11,3,"Food was okay, nothing special.",Neutral
112,1919,6305,7,11,2026-05-10,3,,Neutral
113,3441,39373,56,5,2026-02-04,3,Decent taste but portion size could be better.,Neutral
114,53,21266,27,4,2025-05-17,3,"It was fine, met basic expectations.",Neutral
115,3240,27955,57,11,2024-09-28,4,,Positive
116,10851,4394,12,15,2025-04-12,5,Perfectly cooked and packed really well.,Positive
117,1511,20498,31,9,2025-01-08,1,,Negative
118,6410,6874,50,5,2025-06-14,3,Decent taste but portion size could be better.,Neutral
119,9772,25058,27,15,2025-12-27,4,Perfectly cooked and packed really well.,Positive
120,10308,21330,50,5,2025-07-05,3,,Neutral
121,9996,24654,28,6,2026-08-10,4,"Great taste and hot, fresh delivery.",Positive
122,1764,1585,60,4,2025-08-12,5,One of the best QSR experiences in the city.,Positive
123,9034,17598,18,4,2025-02-14,5,Perfectly cooked and packed really well.,Positive
124,9248,29317,10,5,2026-04-23,5,One of the best QSR experiences in the city.,Positive
125,5404,34627,57,8,2024-08-28,3,"Food was okay, nothing special.",Neutral
126,2768,28915,6,3,2025-07-23,5,One of the best QSR experiences in the city.,Positive
127,12336,39522,41,8,2026-02-10,5,"Friendly staff and tasty food, will order again.",Positive
128,9437,27560,3,8,2026-08-04,5,"Friendly staff and tasty food, will order again.",Positive
129,12394,31142,14,11,2024-03-24,3,"Food was okay, nothing special.",Neutral
130,7461,40357,70,5,2025-04-14,3,"It was fine, met basic expectations.",Neutral
131,12036,9941,48,2,2024-04-10,2,Order was incorrect and staff was unhelpful.,Negative
132,10510,14813,54,19,2024-05-22,4,,Positive
133,5874,35286,35,2,2023-12-22,3,Decent taste but portion size could be better.,Neutral
134,12051,8561,8,20,2024-05-26,4,Perfectly cooked and packed really well.,Positive
135,11181,1008,15,9,2024-04-16,5,One of the best QSR experiences in the city.,Positive
136,5198,27247,39,3,2024-07-20,5,"Great taste and hot, fresh delivery.",Positive
137,4032,1623,52,7,2024-08-12,5,"Great taste and hot, fresh delivery.",POSITIVE
138,7270,11743,33,9,2025-06-12,4,"Friendly staff and tasty food, will order again.",Positive
139,1219,18152,5,3,2025-02-04,5,"Absolutely loved the food, quick service too!",Positive
140,832,24135,31,8,2024-10-31,5,,Positive
141,2909,21407,23,3,2024-11-13,4,"Absolutely loved the food, quick service too!",Positive
142,10272,29654,26,8,2025-03-11,4,"Absolutely loved the food, quick service too!",Positive
143,3566,25807,2,17,2024-03-12,5,"Great taste and hot, fresh delivery.",Positive
144,7293,37529,33,13,2024-04-23,5,"Absolutely loved the food, quick service too!",Positive
145,2367,31295,51,8,2025-11-28,5,"Great taste and hot, fresh delivery.",Positive
146,4702,7357,44,8,2025-11-26,5,"Friendly staff and tasty food, will order again.",Positive
147,4915,34484,26,5,2025-03-11,3,"Food was okay, nothing special.",Neutral
148,4383,21103,9,17,2026-04-09,5,"Friendly staff and tasty food, will order again.",Positive
149,2327,6022,15,5,2026-07-24,3,Decent taste but portion size could be better.,Neutral
150,7343,13407,27,16,2025-05-17,5,Perfectly cooked and packed really well.,Negative
151,9080,11720,41,8,2024-10-19,2,,Negative
152,11395,1264,53,3,2025-08-10,5,Perfectly cooked and packed really well.,Neutral
153,5640,8069,22,5,2025-12-04,5,"Friendly staff and tasty food, will order again.",Positive
154,9045,4406,10,17,2024-05-23,1,Way too oily and not fresh at all.,Negative
155,3731,30276,57,3,2024-09-28,5,Perfectly cooked and packed really well.,Positive
156,12457,40091,22,8,2026-07-04,5,Perfectly cooked and packed really well.,Positive
157,3886,28315,10,5,2024-04-16,5,"Friendly staff and tasty food, will order again.",Positive
158,4820,22503,35,17,2025-05-10,4,"Absolutely loved the food, quick service too!",Positive
159,3033,16531,46,3,2026-05-23,4,"Absolutely loved the food, quick service too!",Positive
160,8887,36281,69,20,2026-04-05,3,"Average experience, delivery took a bit long.",Neutral
161,2766,19589,54,5,2024-03-19,4,"Absolutely loved the food, quick service too!",Positive
162,3612,1660,13,8,2026-05-24,5,Perfectly cooked and packed really well.,Positive
163,1965,20799,43,17,2026-04-26,4,"Great taste and hot, fresh delivery.",Positive
164,9262,38544,64,17,2026-05-02,4,One of the best QSR experiences in the city.,Positive
165,11491,25312,59,12,2024-03-25,4,One of the best QSR experiences in the city.,Positive
166,10291,28148,30,8,2024-03-18,2,Delivery was very late and food quality was poor.,Negative
167,6470,17298,21,9,2024-06-26,2,Way too oily and not fresh at all.,Negative
168,3905,36300,16,4,2024-04-17,4,One of the best QSR experiences in the city.,Positive
169,4639,26734,67,2,2024-01-10,3,Decent taste but portion size could be better.,Neutral
170,1554,31179,38,8,2026-05-01,4,,Positive
171,5848,29235,53,6,2025-09-09,5,Perfectly cooked and packed really well.,Positive
172,5703,15055,23,15,2025-04-16,4,One of the best QSR experiences in the city.,Positive
173,3954,300,43,5,2024-02-22,3,"Food was okay, nothing special.",Neutral
174,1331,23430,24,3,2024-05-25,5,"Great taste and hot, fresh delivery.",Positive
175,11271,24880,2,11,2025-08-11,4,One of the best QSR experiences in the city.,Positive
176,3667,39252,27,12,2024-10-29,4,Perfectly cooked and packed really well.,Positive
177,1509,34961,17,15,2025-08-30,3,"Average experience, delivery took a bit long.",Neutral
178,2257,41154,60,6,2025-06-02,2,Way too oily and not fresh at all.,Negative
179,5414,31941,5,4,2024-07-31,2,Delivery was very late and food quality was poor.,Negative
180,8669,7736,7,7,2025-05-05,5,"Friendly staff and tasty food, will order again.",Positive
181,7651,515,26,8,2024-09-15,5,,Positive
182,10321,41814,60,8,2026-07-14,4,Perfectly cooked and packed really well.,Positive
183,2211,2077,10,20,2026-08-08,3,"It was fine, met basic expectations.",Neutral
184,11674,5481,35,4,2025-03-03,4,,Positive
185,2190,31216,66,4,2025-11-22,4,,Positive
186,12333,7501,38,15,2025-07-19,4,"Absolutely loved the food, quick service too!",Positive
187,1504,552,2,10,2024-10-19,3,"Average experience, delivery took a bit long.",Neutral
188,6291,8439,4,5,2025-05-27,4,"Friendly staff and tasty food, will order again.",Positive
189,7383,40820,40,12,2024-11-17,4,Perfectly cooked and packed really well.,Positive
190,10266,40662,47,19,2023-12-17,4,"Great taste and hot, fresh delivery.",Positive
191,9768,6432,10,17,2025-04-29,5,One of the best QSR experiences in the city.,Positive
192,12318,32405,27,2,2024-06-30,4,"Absolutely loved the food, quick service too!",Positive
193,5521,19894,52,5,2025-05-08,1,Way too oily and not fresh at all.,Negative
194,255,23119,59,6,2026-05-01,4,One of the best QSR experiences in the city.,Positive
195,865,39587,52,5,2024-05-24,5,"Friendly staff and tasty food, will order again.",Positive
196,3942,5334,3,4,2025-06-22,4,One of the best QSR experiences in the city.,Positive
197,4276,21442,46,11,2025-10-07,1,Order was incorrect and staff was unhelpful.,Negative
198,10342,1999,44,17,2025-05-13,4,"Great taste and hot, fresh delivery.",Negative
199,3829,10177,15,13,2026-06-11,5,"Friendly staff and tasty food, will order again.",Positive
200,3794,37186,56,19,2026-04-26,4,"Friendly staff and tasty food, will order again.",Positive
201,11322,4929,38,14,2024-04-06,2,,Negative
202,3957,33307,23,3,2026-03-04,5,One of the best QSR experiences in the city.,Positive
203,833,19466,43,17,2025-09-11,4,"Absolutely loved the food, quick service too!",Positive
204,4541,8559,10,5,2026-02-01,4,Perfectly cooked and packed really well.,Positive
205,1519,14032,54,16,2024-12-20,5,,Positive
206,149,311,61,17,2025-04-21,4,One of the best QSR experiences in the city.,Positive
207,7512,41509,58,19,2026-05-06,5,,Positive
208,1179,22833,24,4,2023-12-17,4,"Great taste and hot, fresh delivery.",Positive
209,10452,15601,52,17,2026-03-15,4,One of the best QSR experiences in the city.,Positive
210,5526,38616,1,11,2024-02-19,4,"Absolutely loved the food, quick service too!",Positive
211,7421,15415,38,12,2025-10-06,5,"Absolutely loved the food, quick service too!",POSITIVE
212,5146,2851,63,8,2026-06-04,3,"It was fine, met basic expectations.",Neutral
213,1047,25683,70,17,2025-11-11,5,"Absolutely loved the food, quick service too!",Positive
214,12370,12018,47,12,2025-05-23,4,,Positive
215,11614,41819,71,5,2024-01-21,5,"Friendly staff and tasty food, will order again.",Positive
216,5766,21262,11,3,2023-12-30,4,One of the best QSR experiences in the city.,Positive
217,2229,2722,57,17,2024-03-15,5,"Friendly staff and tasty food, will order again.",Positive
218,5652,26962,42,5,2024-01-15,4,Perfectly cooked and packed really well.,Positive
219,9689,33992,4,5,2025-02-09,4,"Friendly staff and tasty food, will order again.",Positive
220,6727,8438,71,2,2025-10-27,5,"Great taste and hot, fresh delivery.",Positive
221,5252,2040,23,8,2026-05-21,5,"Friendly staff and tasty food, will order again.",Positive
222,3661,24178,69,20,2023-12-21,2,,Negative
223,11758,217,11,17,2024-11-27,5,One of the best QSR experiences in the city.,Positive
224,378,38871,2,12,2024-10-15,4,One of the best QSR experiences in the city.,Positive
225,9047,30042,22,6,2025-07-07,5,"Great taste and hot, fresh delivery.",Positive
226,10994,13992,23,16,2024-09-03,5,,Positive
227,8805,31026,8,5,2024-05-19,2,,Negative
228,4023,30267,67,5,2024-06-30,3,"It was fine, met basic expectations.",Neutral
229,31,36406,13,8,2025-02-04,4,"Absolutely loved the food, quick service too!",Positive
230,5714,8339,34,9,2026-02-04,4,,Positive
231,2011,38642,30,5,2026-02-15,4,"Absolutely loved the food, quick service too!",Positive
232,1109,27198,2,16,2025-11-12,4,,Positive
233,7563,31631,66,17,2026-03-27,4,"Great taste and hot, fresh delivery.",Positive
234,11186,21221,27,2,2025-10-29,4,"Great taste and hot, fresh delivery.",Positive
235,8717,5412,44,5,2024-03-26,1,"Extremely disappointed, will not order again.",Negative
236,5783,38981,10,13,2025-01-08,2,Way too oily and not fresh at all.,Negative
237,8656,8435,61,11,2024-05-28,4,"Great taste and hot, fresh delivery.",Positive
238,10158,9956,17,5,2025-10-14,5,,Positive
239,10316,5295,16,9,2025-06-25,5,"Absolutely loved the food, quick service too!",Positive
240,8339,21380,18,17,2024-08-10,4,One of the best QSR experiences in the city.,Positive
241,11922,21185,68,5,2026-02-01,4,"Absolutely loved the food, quick service too!",Positive
242,5004,20960,70,16,2025-03-18,4,,Positive
243,2889,993,42,8,2026-02-26,5,"Absolutely loved the food, quick service too!",Positive
244,6593,37754,50,7,2024-08-08,4,"Absolutely loved the food, quick service too!",Positive
245,12327,30146,1,6,2025-11-13,5,"Absolutely loved the food, quick service too!",Positive
246,4505,15205,67,6,2024-10-24,5,One of the best QSR experiences in the city.,Positive
247,2279,8004,70,5,2025-12-08,5,"Friendly staff and tasty food, will order again.",Positive
248,7923,25352,56,8,2025-03-22,1,Order was incorrect and staff was unhelpful.,Negative
249,3242,9027,68,3,2025-02-05,4,Perfectly cooked and packed really well.,Positive
250,9690,21309,44,19,2024-03-02,4,"Friendly staff and tasty food, will order again.",Positive
251,600,17534,14,17,2024-03-31,1,,Negative
252,6781,41165,33,8,2024-12-24,1,Way too oily and not fresh at all.,Negative
253,1339,28942,2,11,2025-04-20,5,One of the best QSR experiences in the city.,Positive
254,12299,7098,17,11,2025-05-25,4,"Great taste and hot, fresh delivery.",Positive
255,908,26542,25,5,2025-05-06,4,"Great taste and hot, fresh delivery.",Positive
256,11754,23489,45,5,2026-01-28,4,One of the best QSR experiences in the city.,Positive
257,7453,14554,14,5,2026-04-19,5,"Great taste and hot, fresh delivery.",Positive
258,7830,16856,61,17,2026-08-05,4,Perfectly cooked and packed really well.,Positive
259,3545,25113,20,5,2024-09-09,5,"Friendly staff and tasty food, will order again.",Positive
260,6194,37028,58,4,2025-12-02,4,"Great taste and hot, fresh delivery.",Positive
261,5272,20667,57,16,2025-01-02,5,"Friendly staff and tasty food, will order again.",Positive
262,11593,1234,23,17,2026-01-05,4,,Positive
263,759,19428,1,7,2024-06-06,2,"Extremely disappointed, will not order again.",Negative
264,10144,4835,25,19,2024-02-20,5,"Friendly staff and tasty food, will order again.",Positive
265,741,10313,16,15,2024-05-05,5,"Friendly staff and tasty food, will order again.",Positive
266,995,20426,41,4,2026-01-02,5,"Friendly staff and tasty food, will order again.",Positive
267,825,81,19,4,2026-07-24,3,"Average experience, delivery took a bit long.",Neutral
268,7771,14187,71,5,2024-10-03,5,"Great taste and hot, fresh delivery.",Positive
269,8724,14171,41,15,2025-11-14,3,Decent taste but portion size could be better.,Neutral
270,12188,39956,41,5,2024-02-28,5,Perfectly cooked and packed really well.,Positive
271,6733,9670,67,5,2025-02-17,4,One of the best QSR experiences in the city.,Positive
272,7613,5832,56,5,2024-12-10,4,"Friendly staff and tasty food, will order again.",Positive
273,7039,15291,3,12,2025-02-19,5,,Positive
274,8127,8966,50,8,2026-07-14,4,"Friendly staff and tasty food, will order again.",Positive
275,8347,4900,35,5,2026-02-09,5,,Positive
276,4480,25882,61,17,2024-01-17,3,"Food was okay, nothing special.",Neutral
277,12033,14620,35,5,2024-04-03,5,,Positive
278,10082,279,50,20,2024-12-24,4,,Positive
279,1382,12717,32,9,2024-12-01,5,"Great taste and hot, fresh delivery.",Positive
280,7721,3079,47,16,2025-08-19,3,,Neutral
281,8728,11969,43,5,2024-12-24,4,,Positive
282,8661,18445,18,17,2024-08-16,4,One of the best QSR experiences in the city.,Positive
283,11536,35685,68,16,2024-10-04,2,"Extremely disappointed, will not order again.",Negative
284,7650,35500,47,5,2026-08-19,4,"Absolutely loved the food, quick service too!",Negative
285,5457,37015,40,7,2024-01-18,3,"Average experience, delivery took a bit long.",Positive
286,8461,4042,2,11,2026-01-21,4,Perfectly cooked and packed really well.,Positive
287,2815,2016,65,17,2024-08-20,3,,Neutral
288,10939,19919,34,17,2026-08-08,5,"Friendly staff and tasty food, will order again.",Positive
289,6604,11257,39,17,2024-07-28,2,Food arrived cold and soggy.,Negative
290,7449,24794,65,12,2024-11-12,4,Perfectly cooked and packed really well.,Positive
291,9808,15212,41,5,2025-07-04,4,,Positive
292,11513,30935,41,8,2025-10-25,4,One of the best QSR experiences in the city.,Positive
293,6871,41681,4,17,2024-11-19,5,"Great taste and hot, fresh delivery.",Neutral
294,1805,20441,46,5,2025-09-20,4,"Great taste and hot, fresh delivery.",Positive
295,12399,7045,1,7,2024-01-12,3,Decent taste but portion size could be better.,Neutral
296,6702,9213,33,3,2025-02-12,4,One of the best QSR experiences in the city.,Positive
297,3230,3318,15,10,2024-09-09,5,,Positive
298,11555,22857,60,19,2025-09-13,4,One of the best QSR experiences in the city.,Positive
299,1417,31042,30,5,2026-02-28,4,"Absolutely loved the food, quick service too!",Positive
300,8400,29049,65,6,2026-07-01,3,Decent taste but portion size could be better.,Neutral
301,7953,24593,8,11,2026-04-21,4,"Absolutely loved the food, quick service too!",Positive
302,4864,15238,51,9,2025-01-30,3,"Food was okay, nothing special.",Neutral
303,2273,35742,44,5,2025-05-17,4,Perfectly cooked and packed really well.,Positive
304,5007,34750,70,4,2024-06-22,3,Decent taste but portion size could be better.,Neutral
305,745,16761,25,5,2026-05-07,2,Food arrived cold and soggy.,Negative
306,11638,15255,23,16,2025-03-21,5,"Great taste and hot, fresh delivery.",Positive
307,3350,29275,9,7,2024-03-24,2,Way too oily and not fresh at all.,Negative
308,9638,33634,54,4,2024-12-01,4,"Friendly staff and tasty food, will order again.",Positive
309,1395,35725,59,5,2024-12-14,4,"Great taste and hot, fresh delivery.",Positive
310,4990,40984,19,5,2024-01-27,5,Perfectly cooked and packed really well.,Positive
311,12025,17984,1,17,2024-06-19,4,"Friendly staff and tasty food, will order again.",Positive
312,11349,30572,24,5,2024-09-18,4,"Great taste and hot, fresh delivery.",Positive
313,7548,13266,56,5,2024-03-08,5,,Positive
314,9887,1056,33,3,2024-12-22,4,"Absolutely loved the food, quick service too!",Positive
315,5949,35306,12,4,2026-03-19,4,One of the best QSR experiences in the city.,Positive
316,741,2490,62,5,2026-08-07,4,"Friendly staff and tasty food, will order again.",Positive
317,5536,668,52,8,2025-11-01,4,Perfectly cooked and packed really well.,Positive
318,6540,35015,36,8,2024-04-16,4,One of the best QSR experiences in the city.,Positive
319,10112,36944,3,20,2026-01-28,5,,Positive
320,803,15480,17,11,2024-10-03,5,"Absolutely loved the food, quick service too!",Positive
321,8660,1829,17,8,2026-06-27,5,"Great taste and hot, fresh delivery.",Positive
322,3185,2822,67,11,2024-12-05,4,Perfectly cooked and packed really well.,Positive
323,4474,34347,59,15,2025-05-07,4,"Great taste and hot, fresh delivery.",Positive
324,5078,11631,63,11,2025-01-11,3,"Average experience, delivery took a bit long.",Neutral
325,10388,19364,37,4,2024-03-29,4,"Absolutely loved the food, quick service too!",Positive
326,4763,12308,35,19,2025-04-16,5,"Great taste and hot, fresh delivery.",Positive
327,3918,14481,31,17,2024-10-07,4,,Positive
328,1527,14850,24,17,2024-08-12,4,"Friendly staff and tasty food, will order again.",Positive
329,8378,4907,3,5,2024-08-04,4,One of the best QSR experiences in the city.,Positive
330,8507,1316,34,17,2024-06-13,3,"It was fine, met basic expectations.",Neutral
331,1938,7001,24,6,2026-08-17,4,One of the best QSR experiences in the city.,Positive
332,8793,5626,2,3,2024-12-09,4,"Great taste and hot, fresh delivery.",Positive
333,9989,30173,13,5,2025-01-15,5,One of the best QSR experiences in the city.,Positive
334,3476,35257,29,5,2025-10-11,5,Perfectly cooked and packed really well.,Positive
335,10554,26669,55,5,2026-03-25,4,"Absolutely loved the food, quick service too!",Positive
336,597,34434,2,8,2026-02-19,2,Way too oily and not fresh at all.,Negative
337,10080,40434,18,19,2026-04-01,5,"Absolutely loved the food, quick service too!",Positive
338,3538,2926,4,4,2026-01-28,4,"Friendly staff and tasty food, will order again.",Positive
339,7390,1160,31,15,2026-03-20,5,"Friendly staff and tasty food, will order again.",Positive
340,2026,34143,18,8,2026-03-22,5,"Absolutely loved the food, quick service too!",Positive
341,7103,31294,71,6,2026-05-27,4,,Positive
342,1529,13806,68,10,2025-06-17,3,"Food was okay, nothing special.",Neutral
343,12336,18294,19,5,2026-03-04,4,Perfectly cooked and packed really well.,Positive
344,10578,4402,42,10,2025-11-05,5,One of the best QSR experiences in the city.,Positive
345,6422,16001,10,8,2025-01-22,4,"Absolutely loved the food, quick service too!",Positive
346,3756,29877,68,11,2024-07-08,5,Perfectly cooked and packed really well.,Positive
347,1882,36000,39,5,2026-02-23,5,"Absolutely loved the food, quick service too!",Positive
348,11997,9283,4,17,2025-04-20,5,"Great taste and hot, fresh delivery.",Positive
349,4039,8415,5,8,2024-05-29,5,,Positive
350,9469,33392,66,5,2024-03-13,3,Decent taste but portion size could be better.,Neutral
351,3106,305,4,12,2024-11-06,5,"Absolutely loved the food, quick service too!",Positive
352,10084,3528,52,4,2025-12-18,5,"Great taste and hot, fresh delivery.",Positive
353,4151,20528,30,13,2026-04-27,4,"Friendly staff and tasty food, will order again.",Positive
354,10134,24521,34,8,2025-04-27,3,Decent taste but portion size could be better.,Neutral
355,9952,5999,27,9,2024-04-20,4,"Friendly staff and tasty food, will order again.",Positive
356,2530,1325,64,8,2025-05-12,5,,Positive
