OrderID,CustomerID,BranchID,EmployeeID,OrderDate,OrderTime,OrderType,OrderStatus,Subtotal,DiscountAmount,TaxAmount,TotalAmount,PaymentMode
27,9454,5,184,2026-03-11,14:23:36,Dine-In,Completed,1140.19,97.64,52.13,1094.68,Credit Card
28,9213,17,593,2024-03-06,20:13:39,Delivery,Completed,731.04,109.66,31.07,652.45,UPI
29,2725,5,182,2024-12-17,11:49:47,Delivery,Completed,744.84,18.63,36.31,762.52,Cash
30,1580,6,212,2024-10-30,21:09:03,Takeaway,Completed,719.88,43.87,33.8,709.81,UPI
31,9515,5,164,2024-10-06,19:58:48,Delivery,Completed,1359.65,0.0,67.98,1427.63,Wallet
32,5816,15,529,2026-04-18,20:43:33,Takeaway,Completed,785.49,87.71,34.89,732.67,UPI
33,8067,19,683,2025-02-09,21:20:26,Delivery,Completed,163.63,8.18,7.77,163.22,UPI
34,10896,20,729,2024-01-13,12:21:35,Delivery,Completed,214.26,0.0,10.71,224.97,UPI
35,7353,17,588,2026-06-15,12:10:05,Dine-In,Cancelled,782.83,70.38,35.62,748.07,Debit Card
36,11310,15,544,2025-12-20,20:03:52,Dine-In,Completed,1789.94,61.32,86.43,1815.05,Credit Card
37,12440,6,210,2024-05-11,17:18:27,Delivery,Completed,942.61,59.31,44.16,927.46,Debit Card
38,3137,8,281,2023-12-26,21:58:07,DINE-IN,Completed,1816.17,200.61,80.78,1696.34,Debit Card
39,3263,5,155,2025-06-16,18:28:47,Delivery,Completed,435.74,0.0,21.79,457.53,upi
40,11556,12,429,2026-06-26,19:35:12,Dine-In,Completed,1598.81,102.08,74.84,1571.57,UPI
41,12165,4,139,2025-10-05,14:54:39,Takeaway,Completed,200.54,10.03,9.53,200.04,Cash
42,4757,11,387,2025-01-17,21:28:12,Takeaway,Completed,1023.91,14.4,50.48,1059.99,Credit Card
43,11713,16,576,2025-09-20,13:17:29,Dine-In,Completed,1462.14,110.31,67.59,1419.42,UPI
44,1807,5,152,2026-03-05,12:19:35,Dine-In,Completed,413.19,12.32,20.04,420.91,
45,11358,12,409,2026-02-07,18:25:50,Takeaway,Completed,2100.7,82.35,100.92,2119.27,Credit Card
46,10503,2,46,2024-03-15,18:20:09,Takeaway,Completed,1335.04,36.69,64.92,1363.27,UPI
47,2205,5,150,2026-05-05,12:09:48,Dine-In,Refunded,1048.32,157.25,44.55,935.62,UPI
48,147,8,269,2026-07-11,19:24:41,Takeaway,Cancelled,577.84,48.21,26.48,556.11,Cash
49,12055,15,527,2024-03-12,21:45:28,Dine-In,Completed,563.85,12.94,27.55,578.46,Cash
50,10402,11,386,2024-05-27,22:03:57,Dine-In,Completed,1228.07,0.0,61.4,1289.47,Wallet
51,4191,6,214,2025-07-08,20:23:58,Dine-In,Completed,1754.62,138.9,80.79,1696.51,Wallet
52,6285,6,229,2025-07-09,10:00:13,Dine-In,Completed,532.62,47.16,24.27,509.73,Cash
53,3637,4,128,2024-06-22,11:53:01,Delivery,Completed,2940.74,62.81,143.9,3021.83,UPI
54,650,5,162,2025-10-25,20:57:54,Takeaway,Cancelled,648.83,24.37,31.22,655.68,Credit Card
55,1703,12,431,2025-12-01,18:05:34,Delivery,Completed,280.29,0.0,14.01,294.3,UPI
56,7873,5,185,2024-07-07,21:15:25,Takeaway,Completed,522.66,38.29,24.22,508.59,Credit Card
57,11296,4,134,2024-05-09,10:21:03,Dine-In,Completed,195.76,0.0,9.79,205.55,debit card
58,8411,17,600,2026-05-28,21:35:48,TAKEAWAY,Completed,1986.27,214.05,88.61,1860.83,UPI
59,4218,3,94,2024-07-17,12:12:23,Takeaway,Completed,391.17,44.27,17.35,364.25,UPI
60,2488,12,410,2024-02-12,15:05:28,Takeaway,Completed,2211.16,77.71,106.67,2240.12,UPI
61,4584,3,86,2026-05-03,13:16:39,Dine-In,Completed,1176.41,15.52,58.04,1218.93,Cash
62,3312,5,151,2026-03-07,16:12:55,Delivery,Completed,852.6,43.21,40.47,849.86,UPI
63,6295,8,288,2024-06-18,19:31:02,Takeaway,Completed,1806.54,4.14,90.12,1892.52,UPI
64,8602,8,269,2024-12-06,13:40:49,Delivery,Completed,422.56,63.38,17.96,377.14,UPI
65,991,4,128,2024-10-31,14:31:52,Dine-In,Completed,334.7,9.79,16.25,341.16,Credit Card
66,2000,20,729,2025-04-22,17:33:39,Dine-In,Completed,459.9,0.0,23.0,482.9,UPI
67,12484,5,173,2026-03-05,20:52:57,Dine-In,Refunded,364.34,18.22,17.31,363.43,Credit Card
68,10921,9,294,2025-10-22,15:55:42,Delivery,Completed,565.57,5.52,28.0,588.05,UPI
69,878,5,160,2025-09-28,21:06:53,Dine-In,Completed,490.89,0.0,24.54,515.43,UPI
70,2024,3,85,2025-01-30,13:49:41,Dine-In,Completed,509.96,41.46,23.42,491.92,UPI
71,7344,15,533,2024-11-02,20:43:42,Dine-In,Completed,875.29,0.0,43.76,919.05,Cash
72,6762,12,414,2024-12-28,19:18:53,Delivery,Completed,1606.85,57.23,77.48,1627.1,Cash
73,280,5,171,2025-09-14,19:27:03,Dine-In,Completed,848.1,0.0,42.4,890.5,Credit Card
74,222,12,416,2025-03-29,20:35:07,Delivery,Completed,1048.32,0.0,52.42,1100.74,UPI
75,7331,17,623,2025-03-08,19:48:56,Takeaway,Cancelled,488.7,15.07,23.68,497.31,UPI
76,1622,5,164,2026-04-25,18:06:05,Delivery,Completed,620.78,38.47,29.12,611.43,Debit Card
77,9323,8,261,2025-12-01,19:40:36,Delivery,Completed,698.9,30.8,33.4,701.5,Debit Card
78,7860,15,555,2024-07-06,18:08:52,Dine-In,Completed,886.36,48.54,41.89,879.71,Cash
79,2762,5,158,2024-03-09,15:45:08,Dine-In,Completed,177.24,0.0,8.86,186.1,Debit Card
80,6517,15,552,2024-09-06,16:22:02,Delivery,Completed,1274.43,48.23,61.31,1287.51,UPI
81,825,4,120,2026-07-21,21:48:26,Delivery,Completed,669.99,10.26,32.99,692.72,UPI
82,6047,16,559,2024-06-22,19:25:28,Delivery,Refunded,841.01,58.88,39.11,4927.44,Wallet
83,2621,17,612,2024-11-04,10:50:10,Delivery,Completed,1961.98,0.0,98.1,2060.08,Cash
84,3702,5,180,2024-01-13,19:56:58,Dine-In,Completed,856.26,0.0,42.81,899.07,UPI
85,7244,8,285,2024-08-04,20:15:48,Delivery,Completed,1200.07,17.8,59.11,1241.38,UPI
86,8436,3,99,2024-04-20,19:33:29,Delivery,Completed,1097.14,80.65,50.82,1067.31,UPI
87,1003,5,152,2024-03-19,22:32:06,Dine-In,Completed,482.1,0.0,24.11,506.21,UPI
88,1157,15,534,2024-03-16,21:28:17,Dine-In,Completed,616.08,61.61,27.72,582.19,credit card
89,7968,5,185,2024-07-27,14:08:06,TAKEAWAY,Completed,190.78,0.0,9.54,200.32,Cash
90,4722,3,108,2025-11-29,12:25:03,Dine-In,Completed,1212.63,23.94,59.43,1248.12,Credit Card
91,11602,7,237,2025-01-25,20:20:09,Delivery,Completed,1400.78,79.49,66.06,1387.35,UPI
92,6919,19,674,2024-11-03,16:50:39,Takeaway,Completed,244.68,36.7,10.4,218.38,UPI
93,6084,17,618,2025-08-23,14:58:34,Takeaway,Completed,591.78,29.59,28.11,590.3,cash
94,10881,15,524,2025-12-20,14:08:30,Delivery,Completed,2400.79,238.44,108.12,2270.47,Credit Card
95,340,11,368,2025-06-14,19:04:59,Dine-In,Completed,1002.25,41.04,48.06,1009.27,Credit Card
96,1727,8,286,2024-06-05,21:23:27,Dine-In,Completed,738.57,46.54,34.6,726.63,UPI
97,10389,2,66,2026-03-08,14:19:34,Delivery,COMPLETED,890.98,23.77,43.36,910.57,Debit Card
98,8538,4,136,2025-08-09,19:27:47,Delivery,Completed,937.16,35.82,45.07,946.41,Cash
99,698,20,746,2024-03-01,19:43:58,Dine-In,Completed,60.79,9.12,2.58,54.25,Cash
100,5908,5,185,2024-10-06,18:39:41,Dine-In,Completed,761.82,0.0,38.09,799.91,Cash
101,1187,8,266,2024-12-25,15:59:41,Takeaway,Completed,1201.62,86.34,55.76,1171.04,UPI
102,152,9,290,2025-05-02,17:34:54,dine-in,Completed,96.03,4.8,4.56,95.79,Credit Card
103,823,16,567,2025-10-26,21:10:21,Dine-In,Completed,1124.33,122.08,50.11,1052.36,Cash
104,5514,8,268,2025-09-29,21:06:38,Delivery,Completed,774.96,48.83,36.31,762.44,UPI
105,7750,5,171,2024-08-24,13:12:00,Delivery,Cancelled,636.02,95.4,27.03,567.65,UPI
106,1645,11,393,2026-04-03,19:27:00,Takeaway,Completed,256.44,25.64,11.54,242.34,Wallet
107,8880,5,165,2026-05-30,12:33:44,Dine-In,Completed,1409.05,47.76,68.06,1429.35,upi
108,2360,8,276,2025-12-30,18:58:52,Delivery,Completed,1025.24,84.48,47.04,987.8,UPI
109,4816,17,590,2025-07-16,21:51:23,Dine-In,Completed,366.36,31.25,16.76,351.87,Cash
110,8172,3,106,2025-04-04,14:16:34,Takeaway,Completed,1990.45,-42.13,97.42,2045.74,UPI
111,5423,8,279,2025-03-06,20:52:29,DELIVERY,Refunded,1587.11,69.07,75.9,1593.94,UPI
112,10555,5,172,2026-04-03,20:44:35,Takeaway,Completed,1456.35,56.91,69.97,1469.41,UPI
113,6689,5,150,2024-06-22,18:46:17,Dine-In,Refunded,783.35,18.22,38.26,803.39,UPI
114,3336,20,714,2023-12-14,21:23:25,Takeaway,Completed,804.51,120.67,34.19,718.03,Debit Card
115,5821,5,171,2024-03-12,15:35:54,Takeaway,Completed,693.66,0.0,34.68,728.34,Credit Card
116,201,8,274,2025-12-04,18:19:41,Takeaway,Completed,2101.94,156.85,97.25,2042.34,Credit Card
117,6088,17,590,2025-05-14,19:07:45,Delivery,Completed,956.17,12.36,47.19,5946.0,Debit Card
118,7119,10,351,2024-04-06,10:58:17,Delivery,Completed,1757.76,125.68,81.6,1713.68,UPI
119,1881,4,136,2024-06-07,12:52:15,Delivery,Completed,564.42,27.54,26.84,563.72,Cash
120,9275,5,165,2024-10-05,14:04:36,Dine-In,Completed,797.66,23.8,38.69,812.55,Cash
121,5781,8,261,2025-11-21,16:14:59,delivery,Completed,262.88,0.0,13.14,276.02,Credit Card
122,7167,8,284,2024-06-01,12:25:16,Dine-In,Completed,188.17,0.0,9.41,197.58,Cash
123,9211,11,403,2024-04-27,20:56:09,Takeaway,Completed,855.68,110.11,37.28,782.85,Debit Card
124,1481,17,600,2026-05-14,12:27:12,Dine-In,Completed,362.64,27.24,16.77,352.17,Wallet
125,12235,20,715,2025-01-30,19:53:07,Dine-In,Completed,1590.34,18.31,78.6,1650.63,Wallet
126,2537,8,273,2026-04-05,13:02:22,Delivery,Completed,375.78,0.0,18.79,394.57,Cash
127,8497,11,394,2024-06-26,12:44:03,Dine-In,Completed,101.98,0.0,5.1,107.08,Debit Card
128,4469,8,288,2025-09-10,10:59:12,Delivery,Completed,2448.78,71.7,118.85,2495.93,UPI
129,10341,5,151,2024-11-27,13:49:32,Delivery,Completed,1227.66,140.69,54.35,1141.32,UPI
130,1451,17,605,2026-07-11,19:06:19,Dine-In,Completed,613.42,40.21,28.66,601.87,Cash
131,8288,5,170,2024-07-13,19:56:58,Delivery,Completed,1476.47,28.72,72.39,1520.14,Cash
132,10827,20,736,2026-03-29,19:46:58,Dine-In,Completed,1406.98,63.6,67.17,1410.55,Debit Card
133,4667,5,152,2025-12-24,21:25:08,Takeaway,Completed,1620.25,56.26,78.2,1642.19,Debit Card
134,10161,9,321,2026-06-20,16:12:12,Dine-In,Completed,478.02,47.8,21.51,451.73,Cash
135,863,13,484,2025-10-21,16:45:32,Dine-In,Completed,237.0,0.0,11.85,248.85,Wallet
136,4570,6,223,2024-01-26,20:38:06,Takeaway,Completed,674.19,4.12,33.5,703.57,Cash
137,2174,3,90,2025-06-17,18:30:40,Dine-In,Completed,670.52,23.12,32.37,679.77,Debit Card
138,7562,2,71,2024-05-26,19:46:08,Dine-In,Completed,378.96,22.6,17.82,374.18,UPI
139,6042,20,732,2025-04-30,21:59:12,Dine-In,Completed,1105.59,0.0,55.28,1160.87,Debit Card
140,2804,11,398,2025-07-19,10:45:00,Dine-In,Completed,308.52,30.85,13.88,291.55,Wallet
141,5487,17,609,2025-07-26,12:58:14,Takeaway,Completed,328.12,22.55,15.28,320.85,Credit Card
142,2072,15,555,2025-04-19,20:00:16,Takeaway,Completed,923.59,138.54,39.25,824.3,UPI
143,2225,19,695,2024-04-21,13:05:19,Dine-In,Completed,1047.14,6.47,52.03,1092.7,Cash
144,11056,9,300,2025-11-10,18:00:16,delivery,Completed,356.04,0.0,17.8,373.84,Cash
145,11727,4,128,2024-09-28,20:48:13,Takeaway,Completed,783.67,0.0,39.18,822.85,UPI
146,12199,12,440,2024-09-14,16:50:30,Delivery,Completed,616.08,61.61,27.72,582.19,UPI
147,1274,13,455,2024-02-14,13:07:42,Takeaway,Completed,164.82,24.72,7.0,147.1,Cash
148,9795,8,261,2026-01-24,20:23:42,Delivery,Completed,638.38,2.5,31.79,667.67,Credit Card
149,11197,13,484,2024-05-05,11:09:43,Delivery,Completed,151.74,0.0,7.59,159.33,UPI
150,5073,20,732,2026-06-07,13:54:07,Delivery,Completed,581.67,79.76,25.1,527.01,Cash
151,11017,8,265,2026-06-01,20:45:38,Dine-In,Completed,563.86,0.0,28.19,592.05,UPI
152,5928,17,606,2024-06-03,14:10:52,Delivery,Completed,856.25,107.76,37.42,785.91,Wallet
153,6710,4,133,2025-10-31,21:17:16,Dine-In,Completed,289.66,43.45,12.31,258.52,Cash
154,11422,1,42,2024-04-12,13:20:22,Takeaway,Completed,236.82,11.84,11.25,236.23,Wallet
155,7118,6,213,2026-03-09,21:24:43,takeaway,Refunded,234.61,0.0,11.73,246.34,Cash
156,4373,17,613,2026-05-23,12:27:22,Takeaway,Completed,2153.67,181.47,98.61,2070.81,UPI
157,3475,11,386,2025-03-17,20:05:19,Dine-In,Completed,1019.72,95.8,46.2,970.12,Credit Card
158,11671,3,90,2024-05-11,18:22:09,Delivery,Completed,1271.41,99.1,58.62,1230.93,Cash
159,4321,10,326,2025-10-15,20:04:38,Dine-In,Completed,318.22,15.91,15.12,317.43,UPI
160,4919,7,250,2024-09-17,13:47:47,Delivery,Completed,1371.16,4.89,68.31,1434.58,UPI
161,608,1,39,2024-08-16,14:14:53,Dine-In,Completed,847.14,127.07,36.0,756.07,Debit Card
162,6984,19,684,2026-01-24,21:10:15,Delivery,Completed,478.77,0.0,23.94,502.71,UPI
163,5635,9,319,2025-08-20,18:30:42,Takeaway,Refunded,288.09,0.0,14.4,302.49,Cash
164,8939,4,120,2024-01-03,14:38:29,Delivery,Completed,833.19,19.4,40.69,854.48,UPI
165,8539,8,262,2026-07-30,13:50:12,Delivery,Completed,633.63,26.88,30.34,637.09,UPI
166,1198,13,484,2024-12-21,20:53:59,Delivery,Completed,788.97,82.89,35.3,741.38,Wallet
167,8532,5,155,2024-08-17,19:55:31,Delivery,Completed,469.22,0.0,23.46,492.68,Credit Card
168,8718,17,620,2024-08-02,19:47:57,Takeaway,Completed,1318.26,87.33,61.55,1292.48,UPI
169,10557,4,130,2024-12-24,21:18:14,Delivery,Refunded,79.0,0.0,3.95,82.95,UPI
170,1746,12,411,2026-05-16,11:36:04,Delivery,Completed,192.06,0.0,9.6,201.66,UPI
171,3770,10,331,2025-05-10,14:23:02,Delivery,Completed,49.95,5.0,2.25,47.2,Debit Card
172,589,20,724,2025-10-04,16:22:00,Takeaway,Completed,647.06,0.0,32.35,679.41,Debit Card
173,10163,2,72,2024-04-20,21:12:30,Dine-In,Completed,152.97,0.0,7.65,160.62,UPI
174,10137,3,99,2025-06-28,10:33:19,Dine-In,Completed,1138.95,60.76,53.91,1132.1,UPI
175,8076,4,130,2024-09-04,19:50:29,Dine-In,Completed,549.0,82.35,23.33,489.98,UPI
176,1564,5,175,2024-09-21,14:26:30,Takeaway,Completed,1689.62,58.58,81.55,1712.59,debit card
177,7963,19,698,2025-04-16,18:14:36,Takeaway,Completed,652.68,49.09,30.18,633.77,Cash
178,11965,4,136,2025-12-06,18:31:34,Takeaway,Completed,937.16,0.0,46.86,984.02,Wallet
179,5257,19,672,2025-05-31,13:34:05,Dine-In,Completed,1251.19,93.64,57.88,1215.43,Credit Card
180,11655,8,261,2024-02-24,20:37:32,Takeaway,Refunded,801.48,36.96,38.23,802.75,Debit Card
181,2933,8,273,2026-05-09,18:55:29,Delivery,Completed,325.11,23.91,15.06,316.26,Debit Card
182,2942,20,749,2024-05-09,19:27:32,Takeaway,Completed,238.82,35.82,10.15,213.15,Debit Card
183,11785,2,79,2025-05-06,18:24:44,Delivery,Completed,474.9,28.09,22.34,469.15,Cash
184,6984,8,264,2025-12-17,22:08:17,Dine-In,Completed,1286.22,138.79,57.37,1204.8,Credit Card
185,5260,9,298,2024-09-26,15:03:36,Dine-In,Completed,554.29,25.64,26.43,555.08,UPI
186,8906,12,442,2025-03-17,20:37:06,Delivery,Completed,1306.86,69.6,61.86,1299.12,Credit Card
187,11712,8,268,2024-01-29,21:44:15,Delivery,Completed,821.97,23.88,39.9,837.99,UPI
188,6810,5,151,2026-01-18,16:24:31,Takeaway,Completed,1121.03,54.37,53.33,1119.99,UPI
189,11299,12,440,2025-07-16,21:47:36,Delivery,Completed,1647.42,174.97,73.62,1546.07,Debit Card
190,5149,9,301,2024-08-04,21:17:46,Dine-In,Completed,211.28,10.56,10.04,210.76,Debit Card
191,4111,9,319,2024-06-21,20:26:17,Dine-In,Completed,442.42,58.49,19.2,403.13,UPI
192,642,5,179,2026-01-25,19:32:50,Dine-In,Completed,415.94,47.7,18.41,386.65,Debit Card
193,386,12,414,2024-06-22,12:56:59,Takeaway,Completed,1042.01,60.9,49.06,1030.17,UPI
194,1047,8,284,2023-12-15,12:56:28,Delivery,Completed,49.95,0.0,2.5,52.45,Cash
195,12200,17,618,2025-05-12,22:45:56,Takeaway,Completed,1346.47,99.0,62.37,1309.84,Wallet
196,11156,5,174,2026-05-09,18:17:47,Dine-In,Completed,1164.4,54.94,55.47,1164.93,Debit Card
197,4389,5,168,2025-09-11,20:36:25,Dine-In,Completed,816.62,61.61,37.75,792.76,Upi
198,991,12,416,2024-07-20,12:32:32,Dine-In,Completed,182.37,0.0,9.12,191.49,UPI
199,5660,9,309,2024-11-11,21:42:00,Dine-In,Completed,590.91,19.04,28.59,600.46,UPI
200,9138,4,137,2025-06-15,12:54:50,Delivery,Completed,1671.72,70.04,80.08,1681.76,Cash
201,11768,20,727,2025-12-12,16:52:11,Takeaway,Completed,455.22,0.0,22.76,477.98,UPI
202,5986,5,179,2024-07-12,18:23:49,Delivery,Completed,188.85,0.0,9.44,198.29,Upi
203,3291,5,169,2026-06-21,21:33:02,Dine-In,Completed,751.03,0.0,37.55,788.58,UPI
204,604,17,603,2024-04-20,21:30:43,Dine-In,Completed,1213.17,93.14,56.0,1176.03,Credit Card
205,1886,5,186,2024-05-19,17:22:22,Delivery,Completed,366.0,0.0,18.3,384.3,UPI
206,7438,15,552,2025-06-14,19:14:56,Dine-In,Completed,1088.18,69.37,50.94,1069.75,Cash
207,11272,11,398,2025-07-10,13:12:50,Dine-In,Completed,1042.83,96.26,47.33,993.9,Cash
208,2549,13,461,2025-05-31,12:50:46,Takeaway,Completed,492.74,0.0,24.64,517.38,UPI
209,6494,5,162,2025-06-02,19:01:22,Delivery,Completed,971.22,104.07,43.36,910.51,Debit Card
210,258,12,436,2026-08-05,19:19:33,Delivery,Completed,1479.21,73.95,70.26,1475.52,UPI
211,3294,5,187,2024-06-30,19:24:37,DINE-IN,COMPLETED,100.95,0.0,5.05,106.0,Debit Card
212,10940,5,174,2025-11-29,19:01:14,Takeaway,Completed,431.41,18.31,20.66,433.76,Credit Card
213,6563,17,618,2024-02-24,18:41:05,Takeaway,COMPLETED,518.47,18.05,25.02,525.44,UPI
214,7730,3,93,2026-04-29,20:48:03,Dine-In,Completed,356.04,35.6,16.02,336.46,Cash
215,11003,5,184,2024-05-01,14:45:45,Takeaway,Completed,729.26,30.08,34.96,734.14,Debit Card
216,7582,5,168,2026-02-05,16:58:40,Delivery,Completed,2285.3,115.95,108.47,2277.82,
217,11758,17,593,2024-11-27,19:56:54,Takeaway,Completed,1210.46,0.0,60.52,1270.98,Cash
218,2083,9,317,2025-04-28,12:07:19,Delivery,Completed,883.04,46.75,41.81,878.1,Cash
219,868,5,187,2026-05-13,14:08:47,Dine-In,Completed,746.32,0.0,37.32,783.64,UPI
220,8501,6,198,2026-07-18,13:22:19,Dine-In,Completed,530.01,46.92,24.15,507.24,Cash
221,4557,2,53,2026-01-01,19:11:50,Dine-In,Completed,2546.52,198.4,117.41,2465.53,Debit Card
222,8365,8,265,2025-01-27,21:56:41,Dine-In,Completed,1595.53,95.92,74.98,1574.59,UPI
223,11136,16,562,2024-06-19,13:38:56,Dine-In,Completed,1413.8,107.39,65.32,1371.73,UPI
224,3111,3,85,2025-09-19,12:28:48,Dine-In,Completed,2240.46,0.0,112.02,2352.48,Credit Card
225,10510,5,150,2025-07-27,13:23:09,Delivery,Completed,144.42,5.1,6.97,146.29,Debit Card
226,11977,8,288,2026-05-27,13:46:29,Delivery,Completed,613.98,44.33,28.48,598.13,UPI
227,4528,7,247,2025-10-31,14:38:42,Dine-In,Cancelled,718.65,0.0,35.93,754.58,Cash
228,6337,5,172,2026-06-11,15:22:58,Delivery,Completed,280.93,9.79,13.56,284.7,Debit Card
229,1069,13,479,2026-04-16,19:20:49,Delivery,Completed,478.77,71.82,20.35,427.3,Wallet
230,4581,5,155,2025-04-12,21:07:47,Dine-In,Completed,820.59,22.48,39.91,838.02,UPI
231,3710,12,444,2024-09-13,12:22:30,Delivery,Completed,246.42,0.0,12.32,258.74,
232,10555,13,465,2024-06-15,21:54:07,Delivery,Completed,872.54,0.0,43.63,916.17,Cash
233,6852,5,174,2024-03-22,18:27:46,Delivery,Completed,800.49,18.3,39.11,821.3,UPI
234,5082,17,619,2025-03-08,10:14:47,Delivery,Completed,276.45,4.12,13.62,285.95,Credit Card
235,3087,4,135,2025-12-24,21:32:25,Delivery,Cancelled,386.41,3.17,19.16,402.4,Debit Card
236,5959,5,162,2024-11-06,14:12:22,Takeaway,Completed,1150.01,121.21,51.44,1080.24,Wallet
237,8338,6,201,2026-05-02,20:40:27,Delivery,Completed,1851.23,27.07,91.21,1915.37,Cash
238,5488,8,266,2026-03-28,20:23:06,Dine-In,Completed,151.74,15.17,6.83,143.4,UPI
239,8648,20,749,2025-09-06,20:57:52,Dine-In,Refunded,2338.72,81.35,112.87,2370.24,Debit Card
240,5355,17,593,2025-08-03,12:29:50,Takeaway,Completed,238.82,-0.0,11.94,250.76,UPI
241,2059,8,286,2025-01-24,18:13:15,Dine-In,Completed,416.16,0.0,20.81,436.97,Wallet
242,6769,5,165,2024-08-17,13:03:35,Takeaway,completed,529.48,58.61,23.54,494.41,Cash
243,2040,15,545,2024-08-06,11:12:41,Takeaway,Completed,121.58,0.0,6.08,127.66,Wallet
244,7230,11,403,2025-03-25,11:44:43,Takeaway,Completed,769.08,57.54,35.58,747.12,Cash
245,5066,3,96,2023-12-16,13:01:36,Takeaway,Completed,129.36,0.0,6.47,135.83,UPI
246,588,8,288,2025-03-04,20:38:23,Dine-In,Completed,60.79,0.0,3.04,63.83,UPI
247,10542,5,179,2024-07-01,19:59:20,Takeaway,Completed,79.0,3.95,3.75,78.8,Credit Card
248,5965,16,557,2024-05-21,18:59:40,Takeaway,Completed,1093.4,39.45,52.7,1106.65,UPI
249,5964,6,198,2024-08-11,19:17:29,Dine-In,Completed,208.52,7.65,10.04,210.91,Debit Card
250,8370,19,677,2025-02-01,21:41:00,Dine-In,Completed,601.62,60.16,27.07,568.53,UPI
251,3842,5,174,2025-09-30,20:14:24,Dine-In,Completed,246.42,24.64,11.09,232.87,Wallet
252,12398,16,576,2024-03-30,20:51:20,Delivery,Completed,680.64,18.12,33.13,695.65,UPI
253,3442,9,306,2025-12-20,18:49:38,Dine-In,Completed,194.04,0.0,9.7,203.74,Credit Card
254,914,3,97,2025-04-30,14:54:05,Dine-In,Completed,190.78,28.62,8.11,170.27,Debit Card
255,4711,10,323,2026-08-10,18:26:25,Delivery,Completed,1241.57,47.45,59.71,1253.83,Credit Card
256,9039,19,692,2024-01-17,22:05:24,Delivery,Completed,1299.93,28.23,63.59,1335.29,Wallet
257,1490,7,244,2025-12-06,21:33:03,Delivery,Cancelled,356.04,0.0,17.8,373.84,Cash
258,9580,5,155,2026-08-19,20:20:46,Dine-In,Completed,82.82,12.42,3.52,73.92,Credit Card
259,9491,11,380,2024-11-09,21:09:59,Delivery,Completed,811.15,16.15,39.75,834.75,Debit Card
260,10344,17,605,2026-03-01,14:38:10,Dine-In,Cancelled,172.14,25.82,7.32,153.64,Debit Card
261,10492,12,415,2025-03-02,18:52:07,Dine-In,Completed,487.36,48.74,21.93,460.55,UPI
