InspectionID,BranchID,InspectionDate,InspectionType,InspectionScore,ComplianceStatus,ViolationCategory,ViolationSeverity,CorrectiveActionStatus,CorrectiveActionDescription
96,6,2025-02-26,Follow-up,81,Minor Issues,Kitchen Cleanliness,Low,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
97,6,2025-05-27,Follow-up,66,Minor Issues,Kitchen Cleanliness,Medium,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
98,6,2025-08-25,Surprise,68,Minor Issues,Documentation Lapse,Low,Completed,Documentation Lapse issue flagged — corrective action completed.
99,6,2025-11-23,Complaint-Triggered,66,Minor Issues,Cross Contamination,Low,Not Addressed,Cross Contamination issue flagged — corrective action not addressed.
100,6,2026-02-21,Follow-up,14,Non-Compliant,Pest Control,Critical,Not Addressed,Pest Control issue flagged — corrective action not addressed.
101,6,2026-05-22,Complaint-Triggered,75,Minor Issues,Documentation Lapse,Medium,In Progress,Documentation Lapse issue flagged — corrective action in progress.
102,6,2026-08-20,Surprise,97,Compliant,,,,
103,7,2023-12-31,Follow-up,80,Minor Issues,Expired Ingredient Usage,Medium,In Progress,Expired Ingredient Usage issue flagged — corrective action in progress.
104,7,2024-01-30,Surprise,86,Compliant,,,,
105,7,2024-02-29,Routine,66,Minor Issues,Cross Contamination,High,In Progress,Cross Contamination issue flagged — corrective action in progress.
106,7,2024-03-30,Surprise,59,Major Issues,Documentation Lapse,Critical,Completed,Documentation Lapse issue flagged — corrective action completed.
107,7,2024-04-29,Surprise,62,Major Issues,Food Storage Temperature,Medium,Pending,Food Storage Temperature issue flagged — corrective action pending.
108,7,2024-05-29,Surprise,60,Major Issues,Documentation Lapse,Low,Not Addressed,Documentation Lapse issue flagged — corrective action not addressed.
109,7,2024-06-28,Follow-up,50,Major Issues,Food Storage Temperature,Critical,Completed,Food Storage Temperature issue flagged — corrective action completed.
110,7,2024-07-28,Surprise,36,Non-Compliant,Food Storage Temperature,High,In Progress,Food Storage Temperature issue flagged — corrective action in progress.
111,7,2024-08-27,Complaint-Triggered,12,Non-Compliant,Cross Contamination,High,Not Addressed,Cross Contamination issue flagged — corrective action not addressed.
112,7,2024-09-26,Surprise,34,Non-Compliant,Pest Control,Low,Completed,Pest Control issue flagged — corrective action completed.
113,7,2024-10-26,Routine,40,Major Issues,Expired Ingredient Usage,Medium,Completed,Expired Ingredient Usage issue flagged — corrective action completed.
114,7,2024-11-25,Complaint-Triggered,52,Major Issues,Food Storage Temperature,Critical,Not Addressed,Food Storage Temperature issue flagged — corrective action not addressed.
115,7,2024-12-25,Surprise,79,Minor Issues,Pest Control,High,Pending,Pest Control issue flagged — corrective action pending.
116,7,2025-01-24,Follow-up,83,Minor Issues,Documentation Lapse,High,Completed,Documentation Lapse issue flagged — corrective action completed.
117,7,2025-02-23,Surprise,96,Compliant,,,,
118,7,2025-03-25,Routine,18,Non-Compliant,Waste Disposal,Critical,In Progress,Waste Disposal issue flagged — corrective action in progress.
119,7,2025-04-24,Complaint-Triggered,58,Major Issues,Waste Disposal,High,Completed,Waste Disposal issue flagged — corrective action completed.
120,7,2025-05-24,Complaint-Triggered,47,Major Issues,Documentation Lapse,Medium,Pending,Documentation Lapse issue flagged — corrective action pending.
121,7,2025-06-23,Surprise,48,Major Issues,Staff Hygiene,Low,Completed,Staff Hygiene issue flagged — corrective action completed.
122,7,2025-07-23,Routine,27,Non-Compliant,Pest Control,High,Not Addressed,Pest Control issue flagged — corrective action not addressed.
123,7,2025-08-22,Surprise,27,Non-Compliant,Pest Control,Critical,Pending,Pest Control issue flagged — corrective action pending.
124,7,2025-09-21,Surprise,32,Non-Compliant,Waste Disposal,Medium,Completed,Waste Disposal issue flagged — corrective action completed.
125,7,2025-10-21,Follow-up,77,Minor Issues,Food Storage Temperature,Low,In Progress,Food Storage Temperature issue flagged — corrective action in progress.
126,7,2025-11-20,Follow-up,45,Major Issues,Waste Disposal,Medium,Not Addressed,Waste Disposal issue flagged — corrective action not addressed.
127,7,2025-12-20,Routine,0,Non-Compliant,Cross Contamination,Critical,Pending,Cross Contamination issue flagged — corrective action pending.
128,8,2022-12-09,Routine,89,Compliant,,,,
129,8,2023-03-09,Surprise,97,Compliant,,,,
130,8,2023-06-07,Routine,65,Minor Issues,Food Storage Temperature,High,Completed,Food Storage Temperature issue flagged — corrective action completed.
131,8,2023-09-05,Surprise,91,Compliant,,,,
132,8,2023-12-04,Routine,66,Minor Issues,Kitchen Cleanliness,Medium,In Progress,Kitchen Cleanliness issue flagged — corrective action in progress.
133,8,2024-03-03,Routine,94,Compliant,,,,
134,8,2024-06-01,Follow-up,88,Compliant,,,,
135,8,2024-08-30,Complaint-Triggered,66,Minor Issues,Pest Control,Low,In Progress,Pest Control issue flagged — corrective action in progress.
136,8,2024-11-28,Follow-up,66,Minor Issues,Staff Hygiene,Low,Pending,Staff Hygiene issue flagged — corrective action pending.
137,8,2025-02-26,Follow-up,97,Compliant,,,,
138,8,2025-05-27,Routine,90,Compliant,,,,
139,8,2025-08-25,Follow-up,53,Major Issues,Cross Contamination,Low,Pending,Cross Contamination issue flagged — corrective action pending.
140,8,2025-11-23,Follow-up,76,Minor Issues,Pest Control,High,Not Addressed,Pest Control issue flagged — corrective action not addressed.
141,8,2026-02-21,Surprise,68,Minor Issues,Documentation Lapse,Critical,Not Addressed,Documentation Lapse issue flagged — corrective action not addressed.
142,8,2026-05-22,Complaint-Triggered,78,Minor Issues,Waste Disposal,Low,Pending,Waste Disposal issue flagged — corrective action pending.
143,8,2026-08-20,Routine,93,Compliant,,,,
144,9,2022-12-09,Follow-up,71,Minor Issues,Pest Control,Low,Completed,Pest Control issue flagged — corrective action completed.
145,9,2023-03-09,Surprise,61,Major Issues,Documentation Lapse,Medium,Pending,Documentation Lapse issue flagged — corrective action pending.
146,9,2023-06-07,Surprise,85,Compliant,,,,
147,9,2023-09-05,Routine,90,Compliant,,,,
148,9,2023-12-04,Follow-up,55,Major Issues,Documentation Lapse,Low,Pending,Documentation Lapse issue flagged — corrective action pending.
149,9,2024-03-03,Routine,89,Compliant,,,,
150,9,2024-06-01,Routine,78,Minor Issues,Documentation Lapse,High,Not Addressed,Documentation Lapse issue flagged — corrective action not addressed.
151,9,2024-08-30,Routine,85,Compliant,,,,
152,9,2024-11-28,Complaint-Triggered,91,Compliant,,,,
153,9,2025-02-26,Complaint-Triggered,55,Major Issues,Pest Control,Critical,Completed,Pest Control issue flagged — corrective action completed.
154,9,2025-05-27,Surprise,99,Compliant,,,,
155,9,2025-08-25,Complaint-Triggered,93,Compliant,,,,
156,9,2025-11-23,Complaint-Triggered,79,Minor Issues,Food Storage Temperature,Critical,Pending,Food Storage Temperature issue flagged — corrective action pending.
157,9,2026-02-21,Complaint-Triggered,86,Compliant,,,,
158,9,2026-05-22,Follow-up,99,Compliant,,,,
159,9,2026-08-20,Complaint-Triggered,81,Minor Issues,Documentation Lapse,Low,Completed,Documentation Lapse issue flagged — corrective action completed.
160,10,2022-12-09,Follow-up,49,Major Issues,Waste Disposal,Low,Pending,Waste Disposal issue flagged — corrective action pending.
161,10,2023-03-09,Routine,87,Compliant,,,,
162,10,2023-06-07,Routine,92,COMPLIANT,,,,
163,10,2023-09-05,Surprise,59,Major Issues,Cross Contamination,Critical,Completed,Cross Contamination issue flagged — corrective action completed.
164,10,2023-12-04,Surprise,96,Compliant,,,,
165,10,2024-03-03,Follow-up,73,Minor Issues,Documentation Lapse,Medium,Completed,Documentation Lapse issue flagged — corrective action completed.
166,10,2024-06-01,Complaint-Triggered,82,Minor Issues,Kitchen Cleanliness,High,Pending,Kitchen Cleanliness issue flagged — corrective action pending.
167,10,2024-08-30,Routine,75,Minor Issues,Cross Contamination,Low,Pending,Cross Contamination issue flagged — corrective action pending.
168,10,2024-11-28,Complaint-Triggered,78,Minor Issues,Waste Disposal,Medium,In Progress,Waste Disposal issue flagged — corrective action in progress.
169,10,2025-02-26,Routine,85,Compliant,,,,
170,10,2025-05-27,Complaint-Triggered,75,Minor Issues,Pest Control,Low,Not Addressed,Pest Control issue flagged — corrective action not addressed.
171,10,2025-08-25,Follow-up,95,Compliant,,,,
172,10,2025-11-23,Routine,84,Minor Issues,Documentation Lapse,High,Completed,Documentation Lapse issue flagged — corrective action completed.
173,10,2026-02-21,Complaint-Triggered,88,Compliant,,,,
174,10,2026-05-22,Surprise,105,Compliant,,,,
175,10,2026-08-20,Routine,78,Minor Issues,Documentation Lapse,Low,In Progress,Documentation Lapse issue flagged — corrective action in progress.
176,11,2022-12-09,Surprise,83,Minor Issues,Documentation Lapse,Critical,Completed,Documentation Lapse issue flagged — corrective action completed.
177,11,2023-03-09,Surprise,94,Compliant,,,,
178,11,2023-06-07,Surprise,99,Compliant,,,,
179,11,2023-09-05,Routine,73,Minor Issues,Waste Disposal,Low,In Progress,Waste Disposal issue flagged — corrective action in progress.
180,11,2023-12-04,Routine,71,Minor Issues,Waste Disposal,High,Pending,Waste Disposal issue flagged — corrective action pending.
181,11,2024-03-03,Surprise,87,Compliant,,,,
182,11,2024-06-01,Surprise,94,Compliant,,,,
183,11,2024-08-30,Surprise,85,Compliant,,,,
184,11,2024-11-28,Follow-up,78,Minor Issues,Documentation Lapse,Low,Completed,Documentation Lapse issue flagged — corrective action completed.
185,11,2025-02-26,Follow-up,85,Compliant,,,,
186,11,2025-05-27,Follow-up,85,Compliant,,,,
187,11,2025-08-25,Routine,93,Compliant,,,,
188,11,2025-11-23,Routine,91,Compliant,,,,
189,11,2026-02-21,Routine,91,Compliant,,,,
190,11,2026-05-22,Routine,75,Minor Issues,Staff Hygiene,High,Completed,Staff Hygiene issue flagged — corrective action completed.
191,11,2026-08-20,Follow-up,9,Non-Compliant,Cross Contamination,Medium,In Progress,Cross Contamination issue flagged — corrective action in progress.
192,12,2022-12-09,Complaint-Triggered,98,Compliant,,,,
193,12,2023-03-09,Follow-up,89,Compliant,,,,
194,12,2023-06-07,Surprise,86,Compliant,,,,
195,12,2023-09-05,Complaint-Triggered,100,Compliant,,,,
196,12,2023-12-04,Surprise,86,Compliant,,,,
197,12,2024-03-03,Routine,97,Compliant,,,,
198,12,2024-06-01,Routine,97,Compliant,,,,
199,12,2024-08-30,Routine,89,Compliant,,,,
200,12,2024-11-28,Follow-up,86,Compliant,,,,
201,12,2025-02-26,Follow-up,69,Minor Issues,Documentation Lapse,Critical,Pending,Documentation Lapse issue flagged — corrective action pending.
202,12,2025-05-27,Routine,94,Compliant,,,,
203,12,2025-08-25,Surprise,85,Compliant,,,,
204,12,2025-11-23,Routine,93,Compliant,,,,
205,12,2026-02-21,Follow-up,87,Compliant,,,,
206,12,2026-05-22,Surprise,85,Compliant,,,,
207,12,2026-08-20,Routine,72,Minor Issues,Waste Disposal,High,Pending,Waste Disposal issue flagged — corrective action pending.
208,13,2022-12-09,Follow-up,70,Minor Issues,Cross Contamination,Medium,Completed,Cross Contamination issue flagged — corrective action completed.
209,13,2023-03-09,Complaint-Triggered,90,Compliant,,,,
210,13,2023-06-07,Follow-up,87,Compliant,,,,
211,13,2023-09-05,Complaint-Triggered,97,Compliant,,,,
212,13,2023-12-04,Complaint-Triggered,95,Compliant,,,,
213,13,2024-03-03,Follow-up,96,Compliant,,,,
214,13,2024-06-01,Follow-up,51,Major Issues,Documentation Lapse,Low,Completed,Documentation Lapse issue flagged — corrective action completed.
215,13,2024-08-30,Surprise,88,Compliant,,,,
216,13,2024-11-28,Follow-up,71,Minor Issues,Kitchen Cleanliness,Low,In Progress,Kitchen Cleanliness issue flagged — corrective action in progress.
217,13,2025-02-26,Follow-up,100,Compliant,,,,
218,13,2025-05-27,Complaint-Triggered,98,Compliant,,,,
219,13,2025-08-25,Routine,96,Compliant,,,,
220,13,2025-11-23,Routine,9,Non-Compliant,Pest Control,High,Completed,Pest Control issue flagged — corrective action completed.
221,13,2026-02-21,Complaint-Triggered,89,Compliant,,,,
222,13,2026-05-22,Routine,86,Compliant,,,,
223,13,2026-08-20,Routine,71,Minor Issues,Kitchen Cleanliness,Low,In Progress,Kitchen Cleanliness issue flagged — corrective action in progress.
224,14,2022-12-09,Complaint-Triggered,93,Compliant,,,,
225,14,2023-01-08,Follow-up,81,Minor Issues,Pest Control,Low,In Progress,Pest Control issue flagged — corrective action in progress.
226,14,2023-02-07,Surprise,57,Major Issues,Staff Hygiene,Low,Not Addressed,Staff Hygiene issue flagged — corrective action not addressed.
227,14,2023-03-09,Follow-up,51,Major Issues,Expired Ingredient Usage,Critical,Completed,Expired Ingredient Usage issue flagged — corrective action completed.
228,14,2023-04-08,Complaint-Triggered,45,Major Issues,Food Storage Temperature,Low,Completed,Food Storage Temperature issue flagged — corrective action completed.
229,14,2023-05-08,Surprise,39,Non-Compliant,Pest Control,High,Pending,Pest Control issue flagged — corrective action pending.
230,14,2023-06-07,Follow-up,50,Major Issues,Expired Ingredient Usage,High,In Progress,Expired Ingredient Usage issue flagged — corrective action in progress.
231,14,2023-07-07,Routine,71,Minor Issues,Pest Control,Low,In Progress,Pest Control issue flagged — corrective action in progress.
232,14,2023-08-06,Routine,60,Major Issues,Pest Control,Medium,Completed,Pest Control issue flagged — corrective action completed.
233,14,2023-09-05,Surprise,6,Non-Compliant,Pest Control,Critical,Completed,Pest Control issue flagged — corrective action completed.
234,14,2023-10-05,Complaint-Triggered,59,Major Issues,Documentation Lapse,Low,Completed,Documentation Lapse issue flagged — corrective action completed.
235,14,2023-11-04,Follow-up,67,Minor Issues,Kitchen Cleanliness,High,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
236,14,2023-12-04,Follow-up,61,Major Issues,Pest Control,Medium,Pending,Pest Control issue flagged — corrective action pending.
237,14,2024-01-03,Follow-up,50,Major Issues,Kitchen Cleanliness,Medium,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
238,14,2024-02-02,Surprise,22,Non-Compliant,Food Storage Temperature,High,Completed,Food Storage Temperature issue flagged — corrective action completed.
239,14,2024-03-03,Follow-up,84,Minor Issues,Expired Ingredient Usage,Medium,Pending,Expired Ingredient Usage issue flagged — corrective action pending.
240,14,2024-04-02,Complaint-Triggered,77,Minor Issues,Waste Disposal,Low,In Progress,Waste Disposal issue flagged — corrective action in progress.
241,14,2024-05-02,Routine,48,Major Issues,Staff Hygiene,High,Completed,Staff Hygiene issue flagged — corrective action completed.
242,14,2024-06-01,Follow-up,84,Minor Issues,Staff Hygiene,Low,Not Addressed,Staff Hygiene issue flagged — corrective action not addressed.
243,15,2022-12-09,Complaint-Triggered,79,Minor Issues,Food Storage Temperature,Low,In Progress,Food Storage Temperature issue flagged — corrective action in progress.
244,15,2023-03-09,Complaint-Triggered,82,Minor Issues,Kitchen Cleanliness,Low,In Progress,Kitchen Cleanliness issue flagged — corrective action in progress.
245,15,2023-06-07,Surprise,66,Minor Issues,Food Storage Temperature,Low,In Progress,Food Storage Temperature issue flagged — corrective action in progress.
246,15,2023-09-05,Complaint-Triggered,92,Compliant,,,,
247,15,2023-12-04,Follow-up,98,Compliant,,,,
248,15,2024-03-03,Follow-up,95,Compliant,,,,
249,15,2024-06-01,Surprise,88,Compliant,,,,
250,15,2024-08-30,Complaint-Triggered,95,Compliant,,,,
251,15,2024-11-28,Routine,81,Minor Issues,Staff Hygiene,Low,In Progress,Staff Hygiene issue flagged — corrective action in progress.
252,15,2025-02-26,Routine,76,Minor Issues,Pest Control,High,Completed,Pest Control issue flagged — corrective action completed.
253,15,2025-05-27,Routine,90,Compliant,,,,
254,15,2025-08-25,Surprise,94,Compliant,,,,
255,15,2025-11-23,Surprise,7,Non-Compliant,Food Storage Temperature,High,Completed,Food Storage Temperature issue flagged — corrective action completed.
256,15,2026-02-21,Surprise,92,Compliant,,,,
257,15,2026-05-22,Complaint-Triggered,0,Non-Compliant,Expired Ingredient Usage,High,Pending,Expired Ingredient Usage issue flagged — corrective action pending.
258,15,2026-08-20,Routine,79,Minor Issues,Food Storage Temperature,Low,Completed,Food Storage Temperature issue flagged — corrective action completed.
259,16,2022-12-09,Routine,91,Compliant,,,,
260,16,2023-03-09,Follow-up,87,Compliant,,,,
261,16,2023-06-07,Routine,92,Compliant,,,,
262,16,2023-09-05,Surprise,94,Compliant,,,,
263,16,2023-12-04,Complaint-Triggered,66,Minor Issues,Waste Disposal,Critical,Completed,Waste Disposal issue flagged — corrective action completed.
264,16,2024-03-03,Complaint-Triggered,87,Compliant,,,,
265,16,2024-06-01,Follow-up,89,Compliant,,,,
266,16,2024-08-30,Complaint-Triggered,85,Compliant,,,,
267,16,2024-11-28,Surprise,86,Compliant,,,,
268,16,2025-02-26,Follow-up,96,Compliant,,,,
269,16,2025-05-27,Routine,88,Compliant,,,,
270,16,2025-08-25,Follow-up,81,Minor Issues,Expired Ingredient Usage,Medium,Not Addressed,Expired Ingredient Usage issue flagged — corrective action not addressed.
271,16,2025-11-23,Follow-up,94,Compliant,,,,
272,16,2026-02-21,Complaint-Triggered,90,Compliant,,,,
273,16,2026-05-22,Complaint-Triggered,42,Major Issues,Kitchen Cleanliness,Medium,Pending,Kitchen Cleanliness issue flagged — corrective action pending.
274,16,2026-08-20,Surprise,100,Compliant,,,,
275,17,2022-12-09,Complaint-Triggered,93,Compliant,,,,
276,17,2023-03-09,Routine,90,Compliant,,,,
277,17,2023-06-07,Routine,99,Compliant,,,,
278,17,2023-09-05,Surprise,85,Compliant,,,,
279,17,2023-12-04,Complaint-Triggered,66,Minor Issues,Food Storage Temperature,Critical,Completed,Food Storage Temperature issue flagged — corrective action completed.
280,17,2024-03-03,Routine,93,Compliant,,,,
281,17,2024-06-01,Complaint-Triggered,87,Compliant,,,,
282,17,2024-08-30,Routine,93,Compliant,,,,
283,17,2024-11-28,Surprise,58,Major Issues,Food Storage Temperature,Medium,Completed,Food Storage Temperature issue flagged — corrective action completed.
284,17,2025-02-26,Complaint-Triggered,97,Compliant,,,,
285,17,2025-05-27,Complaint-Triggered,78,Minor Issues,Waste Disposal,Low,Not Addressed,Waste Disposal issue flagged — corrective action not addressed.
286,17,2025-08-25,Surprise,92,Compliant,,,,
287,17,2025-11-23,Complaint-Triggered,83,Minor Issues,Food Storage Temperature,Medium,In Progress,Food Storage Temperature issue flagged — corrective action in progress.
288,17,2026-02-21,Complaint-Triggered,80,Minor Issues,Cross Contamination,Low,In Progress,Cross Contamination issue flagged — corrective action in progress.
289,17,2026-05-22,Routine,84,Minor Issues,Waste Disposal,Low,Not Addressed,Waste Disposal issue flagged — corrective action not addressed.
290,17,2026-08-20,Complaint-Triggered,92,Compliant,,,,
291,18,2023-07-04,Routine,96,Compliant,,,,
292,18,2023-08-03,Routine,81,Minor Issues,Pest Control,Low,In Progress,Pest Control issue flagged — corrective action in progress.
293,18,2023-09-02,Follow-up,72,Minor Issues,Kitchen Cleanliness,Low,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
294,18,2023-10-02,Complaint-Triggered,90,Compliant,,,,
295,18,2023-11-01,Follow-up,82,Minor Issues,Staff Hygiene,Low,Pending,Staff Hygiene issue flagged — corrective action pending.
