ProductID,ProductName,Category,ProductType,CostPrice,SellingPrice,ProductStatus,LaunchDate
45,Family Feast Combo,Combo,Veg,123.5,206.77,Active,2020-04-29
46,Kids Meal Combo,Combo,Veg,93.47,161.47,Active,2020-05-10
47,Duo Pizza Combo,Combo,Veg,102.76,188.17,Active,2016-12-12
48,Snack Box Combo,Combo,Non-Veg,179.2,367.71,Active,2021-07-22
50,Duo Pizza Combo (Large),Combo,Veg,133.59,244.62,Active,2016-12-12
51,Pepperoni Pizza (Large),Pizza,Non-Veg,91.26,236.82,Active,2017-06-22
52,Chocolate Chip Cookie (Large),Dessert,Dessert,43.23,97.93,Active,2018-05-17
53,Mexican Wave Pizza (Large),Pizza,Veg,89.62,197.26,Active,2016-06-12
54,Grilled Chicken Burger (Large),Burger,Non-Veg,81.06,200.54,Active,2016-01-26
55,Snack Box Combo (Large),Combo,Non-Veg,232.96,478.02,Active,2021-07-22
56,Family Feast Combo (Large),Combo,Veg,160.55,268.8,Active,2020-04-29
57,Packaged Mineral Water (Large),Beverage,Beverage,31.75,107.13,Discontinued,2024-09-15
58,Mexican Bean Burger (Large),Burger,Veg,100.71,183.14,Active,2022-08-06
59,Family Feast Combo (Large) (Large),Combo,Veg,208.72,349.44,Active,2020-04-29
60,Onion Rings (Large),Side,Veg,96.97,212.72,Active,2018-04-21
61,Tandoori Paneer Pizza (Large),Pizza,Veg,98.81,234.61,Active,2019-08-25
62,Gulab Jamun Fusion (Large),Dessert,Dessert,56.06,159.59,Active,2022-09-09
63,Grilled Chicken Burger (Large),Burger,Non-Veg,81.06,200.54,Active,2016-01-26
64,Mexican Wave Pizza (Large) (Large),Pizza,Veg,116.51,256.44,Active,2016-06-12
65,Chicken Sausage Pizza (Large),Pizza,Non-Veg,139.97,300.59,Active,2023-07-17
66,Tandoori Paneer Pizza (Large),Pizza,Veg,98.81,234.61,Active,2019-08-25
67,Peri Peri Fries (Large),Side,Veg,123.9,310.47,Active,2025-06-19
68,Peri Peri Fries (Large),Side,Veg,123.9,310.47,Active,2025-06-19
69,Chicken Wings (Large),Side,Non-Veg,68.58,177.24,Active,2023-01-15
70,Duo Pizza Combo (Large) (Large),Combo,Veg,173.67,318.01,Active,2016-12-12
71,Farmhouse Pizza (Large),Pizza,Veg,63.48,159.04,Active,2026-07-09
