DeliveryID,OrderID,DeliveryPartner,DeliveryDistanceKM,OrderReadyTime,DeliveryPickupTime,DeliveryTime,DeliveryStatus,DeliveryFee
51,150,Porter,13.39,2026-06-07 14:13:07,2026-06-07 14:27:07,2026-06-07 15:12:07,Delivered,134.63
52,152,Shadowfax,11.46,2024-06-03 14:35:52,2024-06-03 14:39:52,2024-06-03 15:29:52,Delivered,107.06
53,158,Dunzo,12.33,2024-05-11 18:47:09,2024-05-11 18:52:09,2024-05-11 19:51:09,Delivered,97.19
54,160,Own Fleet,13.33,2024-09-17 14:04:47,2024-09-17 14:18:47,2024-09-17 15:10:47,Delivered,136.81
55,162,Own Fleet,9.81,2026-01-24 21:21:15,2026-01-24 21:24:15,2026-01-24 22:06:15,Delivered,101.03
56,164,Dunzo,5.86,2024-01-03 14:53:29,2024-01-03 15:05:29,2024-01-03 15:34:29,Delivered,59.1
57,165,Porter,3.89,2026-07-30 13:58:12,2026-07-30 14:03:12,,Failed,54.38
58,166,Swiggy Genie,3.44,2024-12-21 21:14:59,2024-12-21 21:17:59,2024-12-21 21:32:59,Delivered,47.78
59,167,Shadowfax,14.4,2024-08-17 20:03:31,2024-08-17 20:15:31,2024-08-17 21:21:31,Delivered,118.93
60,169,Porter,7.19,2024-12-24 21:26:14,2024-12-24 21:29:14,2024-12-24 21:53:14,Delivered,81.92
61,170,Porter,3.98,2026-05-16 12:00:04,2026-05-16 12:15:04,2026-05-16 12:32:04,Delivered,51.81
62,171,Shadowfax,8.9,2025-05-10 14:33:02,2025-05-10 14:44:02,2025-05-10 15:26:02,Delivered,65.45
63,181,Shadowfax,-11.61,2026-05-09 19:08:29,2026-05-09 19:13:29,,Pending,104.05
64,183,Dunzo,14.41,2025-05-06 18:41:44,2025-05-06 18:44:44,2025-05-06 19:58:44,Delivered,114.29
65,186,Swiggy Genie,9.97,2025-03-17 20:52:06,2025-03-17 20:56:06,,Failed,108.09
66,187,Own Fleet,7.68,2024-01-29 21:56:15,2024-01-29 21:58:15,2024-01-29 22:40:15,Delivered,72.23
67,189,Porter,9.26,2025-07-16 22:04:36,2025-07-16 22:06:36,2025-07-16 22:51:36,Delivered,103.23
68,194,Swiggy Genie,4.08,2023-12-15 13:09:28,2023-12-15 13:11:28,,Returned,44.64
69,200,Porter,9.74,2025-06-15 13:05:50,2025-06-15 13:07:50,2025-06-15 13:43:50,Delivered,92.75
70,202,Swiggy Genie,4.51,2024-07-12 18:45:49,2024-07-12 18:57:49,2024-07-12 19:12:49,Delivered,60.17
71,205,Own Fleet,14.04,2024-05-19 17:47:22,2024-05-19 17:58:22,2024-05-19 18:44:22,Delivered,94.25
72,209,Dunzo,2.13,2025-06-02 19:20:22,2025-06-02 19:33:22,2025-06-02 19:50:22,Delivered,36.92
73,210,Porter,1.12,2026-08-05 19:30:33,2026-08-05 19:32:33,2026-08-05 19:44:33,Delivered,29.98
74,216,Porter,5.8,2026-02-05 17:12:40,2026-02-05 17:27:40,2026-02-05 18:04:40,Delivered,56.33
75,218,Porter,0.96,2025-04-28 12:27:19,2025-04-28 12:32:19,2025-04-28 12:43:19,Delivered,25.09
76,225,Swiggy Genie,7.22,2025-07-27 13:42:09,2025-07-27 13:51:09,2025-07-27 14:26:09,Delivered,74.09
77,226,Dunzo,7.84,2026-05-27 14:07:29,2026-05-27 14:21:29,2026-05-27 14:50:29,Delivered,59.74
78,228,Own Fleet,3.04,2026-06-11 15:34:58,2026-06-11 15:39:58,2026-06-11 16:01:58,Delivered,36.98
79,229,Shadowfax,9.81,2026-04-16 19:38:49,2026-04-16 19:46:49,2026-04-16 20:40:49,Delivered,95.63
80,231,Own Fleet,3.77,2024-09-13 12:35:30,2024-09-13 12:40:30,,Failed,40.42
81,232,Own Fleet,8.16,2024-06-15 22:03:07,2024-06-15 22:09:07,2024-06-15 22:40:07,Delivered,71.26
82,233,Own Fleet,2.64,2024-03-22 18:40:46,2024-03-22 18:51:46,2024-03-22 19:07:46,Delivered,34.94
83,234,Dunzo,12.37,2025-03-08 10:25:47,2025-03-08 10:30:47,2025-03-08 11:10:47,Delivered,119.93
84,235,Porter,14.25,2025-12-24 21:41:25,2025-12-24 21:45:25,2025-12-24 22:44:25,Delivered,147.68
85,237,Dunzo,12.22,2026-05-02 20:51:27,2026-05-02 21:01:27,2026-05-02 21:56:27,Delivered,122.69
86,252,Dunzo,11.46,2024-03-30 21:00:20,2024-03-30 21:11:20,2024-03-30 22:11:20,Delivered,112.43
87,255,Swiggy Genie,11.68,2026-08-10 18:45:25,2026-08-10 18:52:25,,Returned,119.21
88,256,Shadowfax,9.15,2024-01-17 22:26:24,2024-01-17 22:33:24,,Returned,70.12
89,257,Own Fleet,8.83,2025-12-06 21:49:03,2025-12-06 21:53:03,2025-12-06 22:24:03,Delivered,65.23
90,259,Shadowfax,5.51,2024-11-09 21:34:59,2024-11-09 21:36:59,2024-11-09 21:55:59,Delivered,65.47
91,266,Shadowfax,8.25,2025-02-16 15:08:53,2025-02-16 15:14:53,,Cancelled,69.0
92,268,Shadowfax,9.92,2024-10-12 21:50:39,2024-10-12 22:05:39,2024-10-12 22:40:39,Delivered,83.07
93,269,Swiggy Genie,3.45,2026-02-25 12:23:10,2026-02-25 12:34:10,2026-02-25 12:54:10,Delivered,41.84
94,272,Swiggy Genie,7.01,2024-09-07 17:05:37,2024-09-07 17:18:37,2024-09-07 17:50:37,Delivered,61.3
95,274,Porter,11.18,2025-09-23 20:14:10,2025-09-23 20:27:10,2025-09-23 21:03:10,Delivered,83.55
96,276,Swiggy Genie,9.65,2026-04-18 22:00:17,2026-04-18 22:06:17,2026-04-18 22:54:17,Delivered,105.83
97,280,Porter,4.22,2024-10-05 16:56:22,2024-10-05 17:03:22,,Cancelled,49.44
98,281,Shadowfax,2.99,2025-01-18 11:16:05,2025-01-18 11:31:05,2025-01-18 11:41:05,Delivered,43.12
99,282,Swiggy Genie,7.57,2024-12-28 19:10:11,2024-12-28 19:12:11,2024-12-28 19:56:11,Delivered,68.01
100,283,Swiggy Genie,14.36,2026-03-21 11:17:26,2026-03-21 11:23:26,2026-03-21 12:33:26,Delivered,143.07
101,287,Shadowfax,7.66,2026-02-21 13:47:03,2026-02-21 13:52:03,2026-02-21 14:26:03,Delivered,77.93
102,291,Dunzo,2.37,2026-06-22 18:37:18,2026-06-22 18:50:18,,Failed,32.22
103,292,Shadowfax,9.0,2024-04-10 20:32:22,2024-04-10 20:41:22,2024-04-10 21:16:22,Delivered,79.77
104,294,Shadowfax,7.75,2026-07-25 21:48:31,2026-07-25 21:50:31,,Cancelled,70.73
105,296,Shadowfax,9.8,2025-06-22 12:35:20,2025-06-22 12:40:20,2025-06-22 13:24:20,Delivered,70.14
106,300,Porter,14.02,2024-02-22 12:52:48,2024-02-22 13:04:48,2024-02-22 13:58:48,Delivered,140.17
107,304,Swiggy Genie,13.1,2024-05-11 20:40:00,2024-05-11 20:50:00,2024-05-11 21:42:00,Delivered,119.82
108,308,Porter,13.81,2025-04-13 16:21:41,2025-04-13 16:23:41,,Cancelled,121.17
109,311,Dunzo,3.56,2025-04-17 22:18:08,2025-04-17 22:26:08,2025-04-17 22:45:08,Delivered,45.35
110,318,Swiggy Genie,10.84,2024-01-07 19:34:31,2024-01-07 19:46:31,2024-01-07 20:37:31,Delivered,81.43
111,319,Own Fleet,8.58,2026-02-28 12:09:54,2026-02-28 12:16:54,2026-02-28 13:08:54,Delivered,80.34
112,321,Dunzo,3.27,2026-07-11 23:16:19,2026-07-11 23:25:19,2026-07-11 23:44:19,Delivered,38.7
113,323,Porter,1.24,2025-01-26 20:59:54,2025-01-26 21:02:54,,Cancelled,28.33
114,325,Shadowfax,7.56,2025-02-07 14:41:43,2025-02-07 14:52:43,2025-02-07 15:21:43,Delivered,75.07
115,326,Dunzo,0.55,2026-02-16 19:55:50,2026-02-16 20:00:50,2026-02-16 20:08:50,Delivered,23.43
116,328,Porter,7.81,2024-10-29 14:17:36,2024-10-29 14:22:36,2024-10-29 14:59:36,Delivered,61.15
117,332,Swiggy Genie,5.98,2026-07-15 15:56:14,2026-07-15 16:08:14,2026-07-15 16:45:14,Delivered,54.72
118,335,Own Fleet,4.55,2025-03-21 15:44:17,2025-03-21 15:57:17,2025-03-21 16:13:17,Delivered,54.2
119,342,Swiggy Genie,12.69,2026-04-01 20:39:38,2026-04-01 20:44:38,2026-04-01 21:17:38,Delivered,90.45
120,348,Own Fleet,9.79,2023-12-16 11:09:43,2023-12-16 11:19:43,,Pending,69.96
121,349,Dunzo,9.21,2026-04-19 15:11:01,2026-04-19 15:22:01,2026-04-19 15:51:01,Delivered,98.72
122,350,Porter,9.81,2024-03-30 21:36:36,2024-03-30 21:44:36,2024-03-30 22:30:36,Delivered,82.66
123,354,Porter,12.41,2024-08-07 19:27:34,2024-08-07 19:31:34,2024-08-07 20:19:34,Delivered,112.37
124,356,Shadowfax,3.14,2025-05-12 14:41:59,2025-05-12 14:46:59,2025-05-12 15:11:59,Delivered,45.65
125,358,Dunzo,7.82,2024-06-15 12:51:43,2024-06-15 12:59:43,2024-06-15 13:35:43,Delivered,88.88
126,360,Dunzo,7.02,2025-12-06 16:35:09,2025-12-06 16:39:09,2025-12-06 17:13:09,Delivered,66.44
127,366,Dunzo,6.65,2026-01-03 21:03:34,2026-01-03 21:16:34,2026-01-03 21:34:34,Delivered,63.67
128,371,Own Fleet,2.89,2026-06-28 10:25:15,2026-06-28 10:34:15,,Cancelled,39.06
129,372,Shadowfax,7.27,2025-03-22 13:18:32,2025-03-22 13:33:32,2025-03-22 14:03:32,Delivered,70.2
130,376,Own Fleet,3.01,2024-07-14 15:06:46,2024-07-14 15:16:46,2024-07-14 15:29:46,Delivered,35.81
131,378,Shadowfax,14.12,2024-12-06 13:40:02,2024-12-06 13:48:02,2024-12-06 14:50:02,Delivered,133.51
132,384,Dunzo,8.32,2024-12-08 14:06:10,2024-12-08 14:08:10,2024-12-08 14:56:10,Delivered,63.42
133,390,Swiggy Genie,7.64,2025-01-09 12:38:20,2025-01-09 12:51:20,2025-01-09 13:22:20,Delivered,65.49
134,391,Shadowfax,4.0,2025-08-24 20:55:29,2025-08-24 20:57:29,2025-08-24 21:12:29,Delivered,42.69
135,398,Own Fleet,8.75,2025-11-01 21:26:25,2025-11-01 21:38:25,,Cancelled,80.13
136,401,Own Fleet,8.33,2024-04-20 21:10:29,2024-04-20 21:12:29,,Cancelled,75.25
137,402,Shadowfax,2.96,2024-04-20 21:01:56,2024-04-20 21:11:56,2024-04-20 21:27:56,Delivered,37.94
138,405,Shadowfax,10.41,2024-02-01 18:35:35,2024-02-01 18:42:35,,Delivered,89.11
139,406,Shadowfax,4.5,2024-12-03 23:15:08,2024-12-03 23:30:08,2024-12-03 23:58:08,Delivered,59.65
140,411,Swiggy Genie,8.6,2026-08-11 20:04:10,2026-08-11 20:10:10,,Returned,66.96
141,413,Swiggy Genie,6.42,2025-08-23 19:08:50,2025-08-23 19:20:50,2025-08-23 19:58:50,Delivered,77.71
142,414,Swiggy Genie,2.43,2026-05-21 19:09:31,2026-05-21 19:13:31,2026-05-21 19:31:31,Delivered,32.78
143,416,Own Fleet,5.76,2024-05-10 17:41:23,2024-05-10 17:56:23,2024-05-10 18:18:23,Delivered,68.44
144,422,Swiggy Genie,13.3,2025-05-12 14:19:53,2025-05-12 14:32:53,2025-05-12 15:19:53,Delivered,119.07
145,425,Shadowfax,11.8,2024-06-16 19:52:56,2024-06-16 20:02:56,,Failed,114.07
146,430,Own Fleet,12.95,2025-05-31 14:12:12,2025-05-31 14:21:12,2025-05-31 15:09:12,Delivered,100.28
147,433,Swiggy Genie,2.68,2026-05-23 16:21:01,2026-05-23 16:32:01,2026-05-23 16:48:01,Delivered,41.71
148,435,Shadowfax,13.89,2024-05-04 18:40:35,2024-05-04 18:43:35,2024-05-04 19:57:35,Delivered,118.17
149,437,Dunzo,3.69,2024-11-24 23:17:25,2024-11-24 23:28:25,2024-11-24 23:40:25,Delivered,39.84
150,439,Shadowfax,4.69,2025-10-25 10:18:47,2025-10-25 10:23:47,2025-10-25 10:41:47,Delivered,53.8
151,447,Porter,13.49,2024-04-14 15:19:03,2024-04-14 15:32:03,2024-04-14 16:14:03,Delivered,107.69
152,448,Dunzo,9.82,2026-03-25 21:37:06,2026-03-25 21:40:06,2026-03-25 22:05:06,Delivered,79.16
153,451,Shadowfax,11.45,2026-05-05 16:55:26,2026-05-05 17:08:26,,Cancelled,79.08
154,453,Swiggy Genie,7.27,2026-03-22 19:29:52,2026-03-22 19:39:52,2026-03-22 20:07:52,Delivered,84.4
155,454,Porter,10.22,2025-12-13 22:01:10,2025-12-13 22:06:10,2025-12-13 22:41:10,Delivered,95.57
156,457,Dunzo,2.71,2024-11-02 18:50:56,2024-11-02 18:55:56,2024-11-02 19:10:56,Delivered,43.3
157,461,Swiggy Genie,5.34,2026-03-21 14:48:43,2026-03-21 15:03:43,,Returned,58.38
158,464,Porter,12.49,2024-08-01 21:44:36,2024-08-01 21:58:36,,Failed,95.02
159,465,Own Fleet,11.36,2024-05-25 22:19:57,2024-05-25 22:34:57,2024-05-25 23:08:57,Delivered,100.02
160,471,Porter,3.38,2026-04-18 10:21:27,2026-04-18 10:35:27,2026-04-18 10:52:27,Delivered,43.93
161,478,Own Fleet,4.48,2024-07-17 12:33:47,2024-07-17 12:43:47,2024-07-17 13:01:47,Delivered,48.82
162,484,Porter,5.45,2025-06-22 15:00:17,2025-06-22 15:08:17,,Pending,53.7
163,488,Swiggy Genie,4.58,2024-11-30 13:01:17,2024-11-30 13:16:17,,Pending,55.38
164,489,Dunzo,4.6,2024-01-25 20:24:52,2024-01-25 20:37:52,2024-01-25 21:06:52,Delivered,50.27
165,492,Swiggy Genie,8.11,2024-08-24 10:27:43,2024-08-24 10:36:43,2024-08-24 11:19:43,Delivered,74.35
166,499,Swiggy Genie,11.43,2024-12-29 17:49:39,2024-12-29 18:00:39,2024-12-29 18:47:39,Delivered,101.17
167,507,Porter,13.47,2026-05-09 18:52:23,2026-05-09 19:03:23,,Delivered,118.31
168,512,Swiggy Genie,3.83,2026-07-04 21:08:34,2026-07-04 21:11:34,2026-07-04 21:32:34,Delivered,44.7
169,514,Swiggy Genie,11.88,2025-10-04 19:33:28,2025-10-04 19:35:28,2025-10-04 20:35:28,Delivered,95.83
170,515,Porter,5.63,2024-09-14 19:35:24,2024-09-14 19:45:24,2024-09-14 20:15:24,Delivered,53.45
171,517,Porter,4.39,2025-02-08 19:49:03,2025-02-08 20:03:03,2025-02-08 20:29:03,Delivered,58.31
172,518,Shadowfax,2.66,2025-04-30 19:47:26,2025-04-30 19:52:26,2025-04-30 20:09:26,Delivered,40.13
173,521,Porter,3.69,2026-04-18 18:27:46,2026-04-18 18:35:46,,Failed,39.85
174,528,Dunzo,1.96,2024-11-16 19:01:51,2024-11-16 19:10:51,2024-11-16 19:15:51,Delivered,35.59
175,529,Porter,14.48,2025-07-28 16:52:30,2025-07-28 17:04:30,2025-07-28 18:07:30,Delivered,135.62
176,534,Dunzo,2.59,2024-02-15 18:14:10,2024-02-15 18:26:10,2024-02-15 18:45:10,Delivered,39.68
177,536,Own Fleet,4.1,2024-11-24 14:41:09,2024-11-24 14:46:09,,cancelled,41.86
178,540,Dunzo,5.26,2025-06-17 20:12:39,2025-06-17 20:21:39,2025-06-17 20:43:39,Delivered,52.79
179,543,Porter,8.51,2025-07-17 18:48:00,2025-07-17 18:55:00,,Cancelled,84.49
180,545,Own Fleet,8.51,2024-07-22 14:01:43,2024-07-22 14:08:43,2024-07-22 14:35:43,Delivered,66.24
181,548,Shadowfax,7.92,2024-02-10 15:04:54,2024-02-10 15:13:54,,Cancelled,80.12
182,550,Own Fleet,10.48,2025-09-05 21:20:26,2025-09-05 21:31:26,,Delivered,110.29
183,551,Own Fleet,7.72,2025-01-26 21:55:33,2025-01-26 22:08:33,2025-01-26 22:38:33,Delivered,64.36
184,557,Shadowfax,8.89,2026-05-17 12:25:42,2026-05-17 12:40:42,,Cancelled,99.83
185,561,Own Fleet,8.82,2026-06-20 22:11:44,2026-06-20 22:14:44,2026-06-20 22:44:44,Delivered,90.92
186,562,Swiggy Genie,5.12,2025-02-02 20:00:08,2025-02-02 20:10:08,2025-02-02 20:36:08,Delivered,60.86
187,572,Dunzo,6.49,2024-06-29 20:52:55,2024-06-29 21:05:55,2024-06-29 21:34:55,Delivered,54.23
188,576,Own Fleet,9.9,2026-01-25 20:25:43,2026-01-25 20:28:43,2026-01-25 21:08:43,Delivered,108.72
189,582,Own Fleet,5.28,2024-11-02 19:19:49,2024-11-02 19:33:49,,Pending,56.02
190,584,Shadowfax,5.29,2024-07-03 12:17:45,2024-07-03 12:27:45,2024-07-03 12:56:45,Delivered,54.16
191,585,Porter,6.87,2024-02-23 14:15:37,2024-02-23 14:25:37,2024-02-23 14:55:37,Delivered,58.14
192,586,Shadowfax,7.31,2024-06-23 20:33:19,2024-06-23 20:41:19,2024-06-23 21:16:19,Delivered,67.37
193,592,Dunzo,11.8,2026-04-27 21:34:37,2026-04-27 21:46:37,2026-04-27 22:29:37,Delivered,95.98
194,593,Porter,4.73,2024-06-26 21:47:15,2024-06-26 21:57:15,2024-06-26 22:16:15,Delivered,57.39
195,595,Own Fleet,8.57,2026-03-29 15:30:06,2026-03-29 15:42:06,2026-03-29 16:22:06,Delivered,81.06
196,596,Own Fleet,11.69,2024-03-16 14:01:21,2024-03-16 14:06:21,2024-03-16 15:00:21,Delivered,108.48
197,601,Porter,11.19,2025-01-04 14:28:59,2025-01-04 14:30:59,2025-01-04 15:23:59,Delivered,89.13
198,603,Dunzo,10.88,2024-12-25 19:05:51,2024-12-25 19:14:51,2024-12-25 20:09:51,Delivered,75.11
199,604,Dunzo,1.16,2024-08-20 22:58:34,2024-08-20 23:01:34,2024-08-20 23:10:34,Delivered,29.58
200,618,Shadowfax,5.76,2024-03-30 14:54:19,2024-03-30 14:56:19,,Delivered,50.6
201,623,Shadowfax,12.0,2025-10-28 14:23:07,2025-10-28 14:36:07,2025-10-28 15:25:07,Delivered,107.19
202,625,Own Fleet,6.08,2024-04-11 20:07:32,2024-04-11 20:19:32,2024-04-11 20:54:32,Delivered,53.8
203,626,Swiggy Genie,10.71,2025-06-14 10:34:55,2025-06-14 10:40:55,2025-06-14 11:25:55,Delivered,84.39
204,628,Swiggy Genie,10.82,2024-06-22 12:20:49,2024-06-22 12:27:49,2024-06-22 12:59:49,Delivered,76.85
205,629,Own Fleet,13.94,2024-04-12 13:15:27,2024-04-12 13:25:27,2024-04-12 14:14:27,Delivered,97.58
206,634,Swiggy Genie,7.82,2025-07-19 20:36:28,2025-07-19 20:51:28,2025-07-19 21:14:28,Delivered,80.13
207,640,Dunzo,14.23,2024-08-02 21:23:01,2024-08-02 21:34:01,,Returned,119.2
208,641,Own Fleet,4.79,2026-03-06 14:30:14,2026-03-06 14:38:14,2026-03-06 14:59:14,Delivered,47.49
209,643,Own Fleet,8.0,2024-08-11 19:50:19,2024-08-11 19:54:19,,Failed,81.37
210,645,Swiggy Genie,5.09,2024-08-20 21:04:15,2024-08-20 21:18:15,2024-08-20 21:44:15,Delivered,56.4
211,650,Own Fleet,9.83,2026-03-03 19:55:02,2026-03-03 20:04:02,2026-03-03 20:48:02,Delivered,106.94
212,653,Dunzo,7.98,2024-09-02 13:18:03,2024-09-02 13:21:03,2024-09-02 13:59:03,Delivered,87.29
213,656,Shadowfax,10.16,2024-12-24 21:27:36,2024-12-24 21:29:36,2024-12-24 22:12:36,Delivered,97.85
214,658,Porter,6.9,2024-09-25 19:12:57,2024-09-25 19:17:57,2024-09-25 19:49:57,Delivered,67.84
215,663,Swiggy Genie,2.91,2025-10-25 15:16:07,2025-10-25 15:18:07,2025-10-25 15:38:07,Delivered,35.64
216,669,Own Fleet,9.31,2024-09-03 14:27:06,2024-09-03 14:30:06,2024-09-03 14:58:06,Delivered,87.15
217,675,Dunzo,3.72,2026-06-07 12:33:52,2026-06-07 12:47:52,2026-06-07 13:06:52,Delivered,42.16
218,680,Dunzo,10.05,2025-03-09 11:52:13,2025-03-09 12:01:13,,Returned,78.41
219,682,Porter,2.08,2026-01-18 11:02:23,2026-01-18 11:12:23,2026-01-18 11:31:23,Delivered,31.57
220,686,Swiggy Genie,7.39,2025-03-01 20:06:37,2025-03-01 20:09:37,2025-03-01 20:38:37,Delivered,57.54
221,693,Own Fleet,5.12,2025-06-30 20:01:04,2025-06-30 20:13:04,2025-06-30 20:39:04,Delivered,57.27
222,700,Dunzo,10.7,2024-02-20 11:55:59,2024-02-20 11:57:59,2024-02-20 12:54:59,Delivered,75.57
223,701,Porter,1.93,2025-02-18 11:51:04,2025-02-18 11:56:04,2025-02-18 12:11:04,Delivered,33.11
224,705,Own Fleet,4.47,2026-05-10 21:35:53,2026-05-10 21:49:53,2026-05-10 22:19:53,Delivered,49.09
225,707,Swiggy Genie,1.75,2025-03-12 14:27:03,2025-03-12 14:37:03,2025-03-12 14:49:03,Delivered,31.55
226,709,Dunzo,4.24,2026-06-06 21:35:51,2026-06-06 21:41:51,,Pending,43.58
227,711,Own Fleet,5.41,2024-02-01 12:27:47,2024-02-01 12:38:47,2024-02-01 12:55:47,Delivered,50.94
228,715,Shadowfax,9.07,2024-12-21 13:12:24,2024-12-21 13:26:24,2024-12-21 14:04:24,Delivered,70.39
