CostID,BranchID,CostDate,CostCategory,CostAmount,Description
34,1,2024-05-01,Electricity,57832.95,Electricity expense for May 2024
35,1,2024-05-01,Salaries,305448.5,Salaries expense for May 2024
36,1,2024-05-01,Maintenance,17446.07,Maintenance expense for May 2024
37,1,2024-05-01,Delivery,37324.96,Delivery expense for May 2024
38,1,2024-05-01,Cleaning,9699.59,Cleaning expense for May 2024
39,1,2024-05-01,Repairs,13224.78,Repairs expense for May 2024
40,1,2024-05-01,Miscellaneous,13195.33,Miscellaneous expense for May 2024
41,1,2024-06-01,Rent,91896.7,Rent expense for June 2024
42,1,2024-06-01,Electricity,56230.56,Electricity expense for June 2024
43,1,2024-06-01,SALARIES,318336.69,Salaries expense for June 2024
44,1,2024-06-01,Maintenance,21557.72,Maintenance expense for June 2024
45,1,2024-06-01,Delivery,30362.7,Delivery expense for June 2024
46,1,2024-06-01,Cleaning,10859.01,Cleaning expense for June 2024
47,1,2024-06-01,Repairs,30852.19,Repairs expense for June 2024
48,1,2024-06-01,Miscellaneous,13171.88,Miscellaneous expense for June 2024
49,1,2024-07-01,Rent,168464.96,Rent expense for July 2024
50,1,2024-07-01,Electricity,43647.03,Electricity expense for July 2024
51,1,2024-07-01,Salaries,588962.29,Salaries expense for July 2024
52,1,2024-07-01,Maintenance,25860.01,Maintenance expense for July 2024
53,1,2024-07-01,delivery,41905.69,Delivery expense for July 2024
54,1,2024-07-01,Cleaning,10757.1,Cleaning expense for July 2024
55,1,2024-07-01,Repairs,32626.26,Repairs expense for July 2024
56,1,2024-07-01,Miscellaneous,5694.34,Miscellaneous expense for July 2024
57,1,2024-08-01,Rent,158735.31,Rent expense for August 2024
58,1,2024-08-01,Electricity,53623.8,Electricity expense for August 2024
59,1,2024-08-01,Salaries,462349.46,Salaries expense for August 2024
60,1,2024-08-01,Maintenance,7337.15,Maintenance expense for August 2024
61,1,2024-08-01,Delivery,28833.73,Delivery expense for August 2024
62,1,2024-08-01,Cleaning,9393.85,Cleaning expense for August 2024
63,1,2024-08-01,Repairs,7617.46,Repairs expense for August 2024
64,1,2024-08-01,Miscellaneous,5151.32,Miscellaneous expense for August 2024
65,1,2024-09-01,Rent,161588.26,Rent expense for September 2024
66,1,2024-09-01,Electricity,43315.58,Electricity expense for September 2024
67,1,2024-09-01,Salaries,367364.68,Salaries expense for September 2024
68,1,2024-09-01,Maintenance,9352.48,Maintenance expense for September 2024
69,1,2024-09-01,Delivery,29074.17,Delivery expense for September 2024
70,1,2024-09-01,Cleaning,8349.19,Cleaning expense for September 2024
71,1,2024-09-01,Repairs,32014.33,Repairs expense for September 2024
72,1,2024-09-01,Miscellaneous,13836.81,Miscellaneous expense for September 2024
73,1,2024-10-01,Rent,198349.78,Rent expense for October 2024
74,1,2024-10-01,Electricity,32313.94,Electricity expense for October 2024
75,1,2024-10-01,Salaries,586837.04,Salaries expense for October 2024
76,1,2024-10-01,Maintenance,14003.8,Maintenance expense for October 2024
77,1,2024-10-01,Delivery,49414.72,Delivery expense for October 2024
78,1,2024-10-01,Cleaning,4479.02,Cleaning expense for October 2024
79,1,2024-10-01,Repairs,12249.49,Repairs expense for October 2024
80,1,2024-10-01,Miscellaneous,11236.8,Miscellaneous expense for October 2024
81,1,2024-11-01,Rent,130356.12,Rent expense for November 2024
82,1,2024-11-01,Electricity,52903.4,Electricity expense for November 2024
83,1,2024-11-01,Salaries,406098.13,Salaries expense for November 2024
84,1,2024-11-01,Maintenance,10676.54,Maintenance expense for November 2024
85,1,2024-11-01,Delivery,19064.64,Delivery expense for November 2024
86,1,2024-11-01,Cleaning,6190.66,Cleaning expense for November 2024
87,1,2024-11-01,Repairs,20628.31,Repairs expense for November 2024
88,1,2024-11-01,Miscellaneous,4170.29,Miscellaneous expense for November 2024
89,1,2024-12-01,Rent,78432.81,Rent expense for December 2024
90,1,2024-12-01,Electricity,42917.99,Electricity expense for December 2024
91,1,2024-12-01,Salaries,440487.8,Salaries expense for December 2024
92,1,2024-12-01,Maintenance,11675.82,Maintenance expense for December 2024
93,1,2024-12-01,Delivery,19457.95,Delivery expense for December 2024
94,1,2024-12-01,Cleaning,5222.02,Cleaning expense for December 2024
95,1,2024-12-01,Repairs,20245.33,Repairs expense for December 2024
96,1,2024-12-01,miscellaneous,2276.35,Miscellaneous expense for December 2024
97,1,2025-01-01,Rent,185613.14,Rent expense for January 2025
98,1,2025-01-01,Electricity,44466.32,Electricity expense for January 2025
99,1,2025-01-01,Salaries,339640.29,Salaries expense for January 2025
100,1,2025-01-01,Maintenance,25340.03,Maintenance expense for January 2025
101,1,2025-01-01,Delivery,26577.31,Delivery expense for January 2025
102,1,2025-01-01,Cleaning,11235.43,Cleaning expense for January 2025
103,1,2025-01-01,Repairs,15594.44,Repairs expense for January 2025
104,1,2025-01-01,Miscellaneous,14120.51,Miscellaneous expense for January 2025
105,1,2025-02-01,Rent,212526.54,Rent expense for February 2025
106,1,2025-02-01,Electricity,43727.76,Electricity expense for February 2025
107,1,2025-02-01,Salaries,353886.44,Salaries expense for February 2025
108,1,2025-02-01,Maintenance,21280.61,Maintenance expense for February 2025
109,1,2025-02-01,Delivery,47001.18,Delivery expense for February 2025
110,1,2025-02-01,Cleaning,8098.57,Cleaning expense for February 2025
111,1,2025-02-01,Repairs,16748.26,Repairs expense for February 2025
112,1,2025-02-01,Miscellaneous,15389.37,Miscellaneous expense for February 2025
113,1,2025-03-01,Rent,189850.48,Rent expense for March 2025
114,1,2025-03-01,Electricity,36955.69,Electricity expense for March 2025
115,1,2025-03-01,Salaries,564628.48,Salaries expense for March 2025
116,1,2025-03-01,Maintenance,12720.63,Maintenance expense for March 2025
117,1,2025-03-01,Delivery,41563.57,Delivery expense for March 2025
118,1,2025-03-01,Cleaning,8462.99,Cleaning expense for March 2025
119,1,2025-03-01,Repairs,19552.25,Repairs expense for March 2025
120,1,2025-03-01,Miscellaneous,12092.8,Miscellaneous expense for March 2025
121,1,2025-04-01,Rent,78693.5,Rent expense for April 2025
122,1,2025-04-01,Electricity,39731.41,Electricity expense for April 2025
123,1,2025-04-01,Salaries,532266.09,Salaries expense for April 2025
124,1,2025-04-01,Maintenance,11244.53,Maintenance expense for April 2025
125,1,2025-04-01,Delivery,29765.58,Delivery expense for April 2025
126,1,2025-04-01,Cleaning,4869.63,Cleaning expense for April 2025
127,1,2025-04-01,Repairs,5410.35,Repairs expense for April 2025
128,1,2025-04-01,Miscellaneous,8967.3,Miscellaneous expense for April 2025
129,1,2025-05-01,Rent,93037.4,Rent expense for May 2025
130,1,2025-05-01,Electricity,29548.83,Electricity expense for May 2025
131,1,2025-05-01,Salaries,455813.41,Salaries expense for May 2025
132,1,2025-05-01,maintenance,12418.54,Maintenance expense for May 2025
133,1,2025-05-01,Delivery,29223.27,Delivery expense for May 2025
134,1,2025-05-01,Cleaning,12988.36,Cleaning expense for May 2025
135,1,2025-05-01,Repairs,16888.08,Repairs expense for May 2025
136,1,2025-05-01,Miscellaneous,16204.33,Miscellaneous expense for May 2025
137,1,2025-06-01,Rent,149540.0,Rent expense for June 2025
138,1,2025-06-01,Electricity,55030.84,Electricity expense for June 2025
139,1,2025-06-01,Salaries,524080.43,Salaries expense for June 2025
140,1,2025-06-01,Maintenance,17567.33,Maintenance expense for June 2025
141,1,2025-06-01,Delivery,27759.66,Delivery expense for June 2025
142,1,2025-06-01,Cleaning,10360.86,Cleaning expense for June 2025
143,1,2025-06-01,Repairs,8502.12,Repairs expense for June 2025
144,1,2025-06-01,Miscellaneous,9445.21,Miscellaneous expense for June 2025
145,1,2025-07-01,Rent,72546.81,Rent expense for July 2025
146,1,2025-07-01,Electricity,33966.86,Electricity expense for July 2025
147,1,2025-07-01,Salaries,377328.85,Salaries expense for July 2025
148,1,2025-07-01,Maintenance,21445.86,Maintenance expense for July 2025
149,1,2025-07-01,Delivery,31542.62,Delivery expense for July 2025
150,1,2025-07-01,Cleaning,11289.29,Cleaning expense for July 2025
151,1,2025-07-01,Repairs,3134.04,Repairs expense for July 2025
152,1,2025-07-01,Miscellaneous,5239.33,Miscellaneous expense for July 2025
153,1,2025-08-01,Rent,145029.27,Rent expense for August 2025
154,1,2025-08-01,Electricity,51837.97,Electricity expense for August 2025
155,1,2025-08-01,Salaries,606059.25,Salaries expense for August 2025
156,1,2025-08-01,Maintenance,20973.74,Maintenance expense for August 2025
157,1,2025-08-01,Delivery,21837.74,Delivery expense for August 2025
158,1,2025-08-01,Cleaning,4676.55,Cleaning expense for August 2025
159,1,2025-08-01,Repairs,26006.7,Repairs expense for August 2025
160,1,2025-08-01,Miscellaneous,3276.83,Miscellaneous expense for August 2025
161,1,2025-09-01,Rent,155745.7,Rent expense for September 2025
162,1,2025-09-01,Electricity,43339.35,Electricity expense for September 2025
163,1,2025-09-01,Salaries,397815.65,Salaries expense for September 2025
164,1,2025-09-01,Maintenance,16195.57,Maintenance expense for September 2025
165,1,2025-09-01,Delivery,31217.93,Delivery expense for September 2025
166,1,2025-09-01,Cleaning,7423.71,Cleaning expense for September 2025
167,1,2025-09-01,Repairs,34388.55,Repairs expense for September 2025
168,1,2025-09-01,Miscellaneous,11896.86,Miscellaneous expense for September 2025
169,1,2025-10-01,Rent,111910.24,Rent expense for October 2025
170,1,2025-10-01,Electricity,60571.36,Electricity expense for October 2025
171,1,2025-10-01,Salaries,382419.17,Salaries expense for October 2025
172,1,2025-10-01,Maintenance,22643.36,Maintenance expense for October 2025
173,1,2025-10-01,Delivery,44066.27,Delivery expense for October 2025
174,1,2025-10-01,Cleaning,11040.88,Cleaning expense for October 2025
175,1,2025-10-01,Repairs,17100.4,Repairs expense for October 2025
176,1,2025-10-01,Miscellaneous,6384.58,Miscellaneous expense for October 2025
177,1,2025-11-01,Rent,140410.34,Rent expense for November 2025
178,1,2025-11-01,Electricity,53845.4,Electricity expense for November 2025
179,1,2025-11-01,Salaries,445087.95,Salaries expense for November 2025
180,1,2025-11-01,Maintenance,12182.7,Maintenance expense for November 2025
181,1,2025-11-01,Delivery,14159.97,Delivery expense for November 2025
182,1,2025-11-01,Cleaning,10827.74,Cleaning expense for November 2025
183,1,2025-11-01,Repairs,20143.97,Repairs expense for November 2025
184,1,2025-11-01,Miscellaneous,13151.13,Miscellaneous expense for November 2025
185,1,2025-12-01,Rent,108627.1,Rent expense for December 2025
186,1,2025-12-01,Electricity,35903.32,Electricity expense for December 2025
187,1,2025-12-01,Salaries,513118.11,Salaries expense for December 2025
188,1,2025-12-01,Maintenance,24088.24,Maintenance expense for December 2025
189,1,2025-12-01,Delivery,38027.82,Delivery expense for December 2025
190,1,2025-12-01,Cleaning,7224.03,Cleaning expense for December 2025
191,1,2025-12-01,Repairs,26234.36,Repairs expense for December 2025
192,1,2025-12-01,Miscellaneous,12346.27,Miscellaneous expense for December 2025
193,1,2026-01-01,Rent,135989.71,Rent expense for January 2026
194,1,2026-01-01,Electricity,29028.09,Electricity expense for January 2026
195,1,2026-01-01,Salaries,466482.28,Salaries expense for January 2026
196,1,2026-01-01,Maintenance,24540.03,Maintenance expense for January 2026
197,1,2026-01-01,Delivery,19239.83,Delivery expense for January 2026
198,1,2026-01-01,Cleaning,9845.76,Cleaning expense for January 2026
199,1,2026-01-01,Repairs,8494.53,Repairs expense for January 2026
200,1,2026-01-01,Miscellaneous,12588.91,Miscellaneous expense for January 2026
201,1,2026-02-01,Rent,141626.46,Rent expense for February 2026
202,1,2026-02-01,Electricity,24310.86,Electricity expense for February 2026
203,1,2026-02-01,Salaries,321380.95,Salaries expense for February 2026
204,1,2026-02-01,Maintenance,21541.65,Maintenance expense for February 2026
205,1,2026-02-01,Delivery,44090.7,Delivery expense for February 2026
206,1,2026-02-01,Cleaning,7048.08,Cleaning expense for February 2026
207,1,2026-02-01,Repairs,7080.22,Repairs expense for February 2026
208,1,2026-02-01,Miscellaneous,14247.53,Miscellaneous expense for February 2026
209,1,2026-03-01,Rent,90799.96,Rent expense for March 2026
210,1,2026-03-01,Electricity,41948.37,Electricity expense for March 2026
211,1,2026-03-01,Salaries,482247.11,Salaries expense for March 2026
212,1,2026-03-01,Maintenance,18610.32,Maintenance expense for March 2026
213,1,2026-03-01,Delivery,37530.26,Delivery expense for March 2026
214,1,2026-03-01,Cleaning,4403.89,Cleaning expense for March 2026
215,1,2026-03-01,Repairs,20620.32,Repairs expense for March 2026
216,1,2026-03-01,Miscellaneous,8550.92,Miscellaneous expense for March 2026
217,1,2026-04-01,Rent,200270.03,Rent expense for April 2026
218,1,2026-04-01,Electricity,42990.05,Electricity expense for April 2026
219,1,2026-04-01,Salaries,354415.83,Salaries expense for April 2026
220,1,2026-04-01,Maintenance,13009.46,Maintenance expense for April 2026
221,1,2026-04-01,Delivery,25789.53,Delivery expense for April 2026
222,1,2026-04-01,Cleaning,7014.4,Cleaning expense for April 2026
223,1,2026-04-01,Repairs,9303.24,Repairs expense for April 2026
224,1,2026-04-01,Miscellaneous,7192.05,Miscellaneous expense for April 2026
225,1,2026-05-01,Rent,178319.8,Rent expense for May 2026
226,1,2026-05-01,Electricity,35204.3,Electricity expense for May 2026
227,1,2026-05-01,Salaries,510936.31,Salaries expense for May 2026
228,1,2026-05-01,Maintenance,16752.43,Maintenance expense for May 2026
229,1,2026-05-01,Delivery,37062.94,Delivery expense for May 2026
230,1,2026-05-01,Cleaning,9407.92,Cleaning expense for May 2026
231,1,2026-05-01,Repairs,11436.62,Repairs expense for May 2026
232,1,2026-05-01,Miscellaneous,6360.55,Miscellaneous expense for May 2026
233,1,2026-06-01,Rent,163995.97,Rent expense for June 2026
234,1,2026-06-01,Electricity,57994.55,Electricity expense for June 2026
235,1,2026-06-01,Salaries,350025.03,Salaries expense for June 2026
236,1,2026-06-01,Maintenance,16748.85,Maintenance expense for June 2026
237,1,2026-06-01,Delivery,51665.86,Delivery expense for June 2026
238,1,2026-06-01,Cleaning,7175.71,Cleaning expense for June 2026
239,1,2026-06-01,Repairs,4463.13,Repairs expense for June 2026
240,1,2026-06-01,Miscellaneous,8003.5,Miscellaneous expense for June 2026
241,1,2026-07-01,Rent,108721.79,Rent expense for July 2026
242,1,2026-07-01,Electricity,31736.83,Electricity expense for July 2026
243,1,2026-07-01,Salaries,446262.91,Salaries expense for July 2026
244,1,2026-07-01,Maintenance,-20281.25,Maintenance expense for July 2026
245,1,2026-07-01,Delivery,22074.5,Delivery expense for July 2026
246,1,2026-07-01,Cleaning,11638.6,Cleaning expense for July 2026
247,1,2026-07-01,Repairs,25376.28,Repairs expense for July 2026
248,1,2026-07-01,Miscellaneous,13391.0,Miscellaneous expense for July 2026
249,1,2026-08-01,Rent,73119.77,Rent expense for August 2026
250,1,2026-08-01,Electricity,50837.4,Electricity expense for August 2026
251,1,2026-08-01,Salaries,312060.83,Salaries expense for August 2026
252,1,2026-08-01,Maintenance,14640.0,Maintenance expense for August 2026
253,1,2026-08-01,Delivery,41911.73,Delivery expense for August 2026
254,1,2026-08-01,Cleaning,9661.73,Cleaning expense for August 2026
255,1,2026-08-01,Repairs,24920.62,Repairs expense for August 2026
256,1,2026-08-01,Miscellaneous,3031.02,Miscellaneous expense for August 2026
257,2,2024-01-01,Rent,163789.81,Rent expense for January 2024
258,2,2024-01-01,Electricity,114930.83,Electricity expense for January 2024
259,2,2024-01-01,Salaries,1105532.75,Salaries expense for January 2024
260,2,2024-01-01,Maintenance,29841.82,Maintenance expense for January 2024
261,2,2024-01-01,Delivery,43354.13,Delivery expense for January 2024
262,2,2024-01-01,Cleaning,8592.03,Cleaning expense for January 2024
263,2,2024-01-01,Repairs,17589.46,Repairs expense for January 2024
264,2,2024-01-01,Miscellaneous,16961.9,Miscellaneous expense for January 2024
265,2,2024-02-01,Rent,357330.24,Rent expense for February 2024
266,2,2024-02-01,Electricity,112480.19,Electricity expense for February 2024
267,2,2024-02-01,Salaries,1142212.38,Salaries expense for February 2024
268,2,2024-02-01,Maintenance,13248.89,Maintenance expense for February 2024
269,2,2024-02-01,Delivery,25320.7,Delivery expense for February 2024
270,2,2024-02-01,Cleaning,17768.03,Cleaning expense for February 2024
271,2,2024-02-01,Repairs,46604.08,Repairs expense for February 2024
272,2,2024-02-01,Miscellaneous,3996.25,Miscellaneous expense for February 2024
273,2,2024-03-01,Rent,282401.63,Rent expense for March 2024
274,2,2024-03-01,Electricity,80962.45,Electricity expense for March 2024
275,2,2024-03-01,Salaries,629643.48,Salaries expense for March 2024
276,2,2024-03-01,MAINTENANCE,37122.6,Maintenance expense for March 2024
277,2,2024-03-01,Delivery,30270.46,Delivery expense for March 2024
278,2,2024-03-01,Cleaning,23380.93,Cleaning expense for March 2024
279,2,2024-03-01,Repairs,24081.34,Repairs expense for March 2024
280,2,2024-03-01,Miscellaneous,23562.09,Miscellaneous expense for March 2024
281,2,2024-04-01,Rent,196905.42,Rent expense for April 2024
282,2,2024-04-01,Electricity,112144.02,Electricity expense for April 2024
283,2,2024-04-01,Salaries,960651.97,Salaries expense for April 2024
284,2,2024-04-01,Maintenance,39752.44,Maintenance expense for April 2024
285,2,2024-04-01,Delivery,91632.75,Delivery expense for April 2024
286,2,2024-04-01,Cleaning,22826.44,Cleaning expense for April 2024
287,2,2024-04-01,Repairs,19109.03,Repairs expense for April 2024
288,2,2024-04-01,Miscellaneous,12818.45,Miscellaneous expense for April 2024
289,2,2024-05-01,Rent,142237.05,Rent expense for May 2024
290,2,2024-05-01,Electricity,98020.03,Electricity expense for May 2024
291,2,2024-05-01,Salaries,1044579.12,Salaries expense for May 2024
292,2,2024-05-01,Maintenance,47593.11,Maintenance expense for May 2024
293,2,2024-05-01,Delivery,41775.53,Delivery expense for May 2024
294,2,2024-05-01,Cleaning,20712.8,Cleaning expense for May 2024
295,2,2024-05-01,Repairs,38397.38,Repairs expense for May 2024
296,2,2024-05-01,Miscellaneous,30535.06,Miscellaneous expense for May 2024
297,2,2024-06-01,Rent,385747.51,Rent expense for June 2024
298,2,2024-06-01,Electricity,113553.9,Electricity expense for June 2024
299,2,2024-06-01,Salaries,1124802.15,Salaries expense for June 2024
300,2,2024-06-01,Maintenance,46301.78,Maintenance expense for June 2024
301,2,2024-06-01,Delivery,64821.0,Delivery expense for June 2024
302,2,2024-06-01,Cleaning,19872.1,Cleaning expense for June 2024
303,2,2024-06-01,Repairs,55119.43,Repairs expense for June 2024
304,2,2024-06-01,Miscellaneous,18244.55,Miscellaneous expense for June 2024
305,2,2024-07-01,Rent,239712.88,Rent expense for July 2024
306,2,2024-07-01,Electricity,66049.29,Electricity expense for July 2024
307,2,2024-07-01,Salaries,700474.81,Salaries expense for July 2024
308,2,2024-07-01,Maintenance,28763.27,Maintenance expense for July 2024
309,2,2024-07-01,Delivery,45179.45,Delivery expense for July 2024
310,2,2024-07-01,Cleaning,18965.63,Cleaning expense for July 2024
311,2,2024-07-01,Repairs,49416.87,Repairs expense for July 2024
312,2,2024-07-01,Miscellaneous,-12966.69,Miscellaneous expense for July 2024
313,2,2024-08-01,Rent,211226.15,Rent expense for August 2024
314,2,2024-08-01,Electricity,90482.25,Electricity expense for August 2024
315,2,2024-08-01,Salaries,905295.8,Salaries expense for August 2024
316,2,2024-08-01,maintenance,16214.3,Maintenance expense for August 2024
317,2,2024-08-01,Delivery,25365.31,Delivery expense for August 2024
318,2,2024-08-01,Cleaning,10146.13,Cleaning expense for August 2024
319,2,2024-08-01,Repairs,8481.75,Repairs expense for August 2024
320,2,2024-08-01,Miscellaneous,13134.43,Miscellaneous expense for August 2024
321,2,2024-09-01,Rent,302900.46,Rent expense for September 2024
322,2,2024-09-01,Electricity,115824.21,Electricity expense for September 2024
323,2,2024-09-01,Salaries,1063255.12,Salaries expense for September 2024
324,2,2024-09-01,Maintenance,48565.3,Maintenance expense for September 2024
325,2,2024-09-01,Delivery,47411.85,Delivery expense for September 2024
326,2,2024-09-01,Cleaning,21779.27,Cleaning expense for September 2024
327,2,2024-09-01,Repairs,22215.81,Repairs expense for September 2024
328,2,2024-09-01,Miscellaneous,10192.17,Miscellaneous expense for September 2024
329,2,2024-10-01,Rent,273714.65,Rent expense for October 2024
330,2,2024-10-01,Electricity,105612.44,Electricity expense for October 2024
331,2,2024-10-01,Salaries,643181.13,Salaries expense for October 2024
332,2,2024-10-01,Maintenance,22656.25,Maintenance expense for October 2024
333,2,2024-10-01,Delivery,98880.22,Delivery expense for October 2024
334,2,2024-10-01,Cleaning,19161.57,Cleaning expense for October 2024
335,2,2024-10-01,Repairs,15575.31,Repairs expense for October 2024
336,2,2024-10-01,Miscellaneous,13722.81,Miscellaneous expense for October 2024
337,2,2024-11-01,Rent,399616.14,Rent expense for November 2024
338,2,2024-11-01,Electricity,54307.71,Electricity expense for November 2024
339,2,2024-11-01,Salaries,1126886.87,Salaries expense for November 2024
340,2,2024-11-01,Maintenance,47689.84,Maintenance expense for November 2024
341,2,2024-11-01,Delivery,87345.55,Delivery expense for November 2024
342,2,2024-11-01,Cleaning,13315.8,Cleaning expense for November 2024
343,2,2024-11-01,Repairs,19414.18,Repairs expense for November 2024
344,2,2024-11-01,Miscellaneous,27254.94,Miscellaneous expense for November 2024
345,2,2024-12-01,Rent,279056.24,Rent expense for December 2024
346,2,2024-12-01,Electricity,73472.6,Electricity expense for December 2024
347,2,2024-12-01,Salaries,981444.39,Salaries expense for December 2024
348,2,2024-12-01,Maintenance,48484.45,Maintenance expense for December 2024
349,2,2024-12-01,Delivery,81628.86,Delivery expense for December 2024
350,2,2024-12-01,Cleaning,14509.76,Cleaning expense for December 2024
351,2,2024-12-01,Repairs,7170.35,Repairs expense for December 2024
352,2,2024-12-01,Miscellaneous,15503.64,Miscellaneous expense for December 2024
353,2,2025-01-01,RENT,249060.29,Rent expense for January 2025
354,2,2025-01-01,Electricity,103007.96,Electricity expense for January 2025
355,2,2025-01-01,Salaries,859642.88,Salaries expense for January 2025
356,2,2025-01-01,Maintenance,24902.44,Maintenance expense for January 2025
357,2,2025-01-01,Delivery,29400.17,Delivery expense for January 2025
358,2,2025-01-01,Cleaning,16641.94,Cleaning expense for January 2025
359,2,2025-01-01,Repairs,35357.62,Repairs expense for January 2025
360,2,2025-01-01,Miscellaneous,22530.59,Miscellaneous expense for January 2025
361,2,2025-02-01,Rent,267147.95,Rent expense for February 2025
362,2,2025-02-01,Electricity,61226.78,Electricity expense for February 2025
363,2,2025-02-01,Salaries,855120.7,Salaries expense for February 2025
364,2,2025-02-01,Maintenance,16588.51,Maintenance expense for February 2025
365,2,2025-02-01,DELIVERY,54381.79,Delivery expense for February 2025
366,2,2025-02-01,Cleaning,10251.05,Cleaning expense for February 2025
367,2,2025-02-01,Repairs,62655.08,Repairs expense for February 2025
368,2,2025-02-01,Miscellaneous,8710.12,Miscellaneous expense for February 2025
369,2,2025-03-01,Rent,377488.67,Rent expense for March 2025
370,2,2025-03-01,Electricity,95215.68,Electricity expense for March 2025
371,2,2025-03-01,Salaries,614950.66,Salaries expense for March 2025
372,2,2025-03-01,Maintenance,14875.09,Maintenance expense for March 2025
373,2,2025-03-01,Delivery,37257.84,Delivery expense for March 2025
374,2,2025-03-01,Cleaning,19779.39,Cleaning expense for March 2025
375,2,2025-03-01,Repairs,18230.91,Repairs expense for March 2025
376,2,2025-03-01,Miscellaneous,23755.27,Miscellaneous expense for March 2025
377,2,2025-04-01,Rent,307536.45,Rent expense for April 2025
378,2,2025-04-01,Electricity,106432.05,Electricity expense for April 2025
379,2,2025-04-01,Salaries,999495.91,Salaries expense for April 2025
380,2,2025-04-01,Maintenance,32550.08,Maintenance expense for April 2025
381,2,2025-04-01,Delivery,48544.28,Delivery expense for April 2025
382,2,2025-04-01,Cleaning,19387.66,Cleaning expense for April 2025
383,2,2025-04-01,Repairs,50506.18,Repairs expense for April 2025
384,2,2025-04-01,Miscellaneous,28260.12,Miscellaneous expense for April 2025
385,2,2025-05-01,Rent,378176.85,Rent expense for May 2025
386,2,2025-05-01,Electricity,106326.66,Electricity expense for May 2025
387,2,2025-05-01,Salaries,954390.77,Salaries expense for May 2025
388,2,2025-05-01,maintenance,41457.56,Maintenance expense for May 2025
389,2,2025-05-01,Delivery,65894.43,Delivery expense for May 2025
390,2,2025-05-01,Cleaning,8791.57,Cleaning expense for May 2025
391,2,2025-05-01,Repairs,16169.06,Repairs expense for May 2025
392,2,2025-05-01,Miscellaneous,31392.94,Miscellaneous expense for May 2025
393,2,2025-06-01,Rent,289693.43,Rent expense for June 2025
394,2,2025-06-01,Electricity,83028.12,Electricity expense for June 2025
395,2,2025-06-01,Salaries,1110587.92,Salaries expense for June 2025
396,2,2025-06-01,Maintenance,34550.91,Maintenance expense for June 2025
397,2,2025-06-01,Delivery,49972.47,Delivery expense for June 2025
398,2,2025-06-01,Cleaning,16745.43,Cleaning expense for June 2025
399,2,2025-06-01,Repairs,12814.24,Repairs expense for June 2025
400,2,2025-06-01,Miscellaneous,7720.2,Miscellaneous expense for June 2025
401,2,2025-07-01,Rent,203214.81,Rent expense for July 2025
402,2,2025-07-01,Electricity,44970.62,Electricity expense for July 2025
403,2,2025-07-01,Salaries,757466.07,Salaries expense for July 2025
404,2,2025-07-01,Maintenance,38617.64,Maintenance expense for July 2025
405,2,2025-07-01,Delivery,68754.47,Delivery expense for July 2025
406,2,2025-07-01,Cleaning,24551.18,Cleaning expense for July 2025
407,2,2025-07-01,Repairs,5924.4,Repairs expense for July 2025
408,2,2025-07-01,Miscellaneous,26620.37,Miscellaneous expense for July 2025
409,2,2025-08-01,Rent,233855.57,Rent expense for August 2025
