OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,DiscountAmount,FinalAmount
129,52,24,1,205.36,30.8,174.56
130,53,57,3,107.13,0.0,321.39
131,53,45,2,206.77,20.68,392.86
132,53,55,3,478.02,0.0,1434.06
133,53,25,3,163.63,0.0,490.89
134,53,3,3,93.62,42.13,238.73
135,54,46,1,161.47,0.0,161.47
136,54,7,2,243.68,24.37,462.99
137,55,29,3,93.43,0.0,280.29
138,56,54,2,200.54,20.05,381.03
139,56,30,2,60.79,18.24,103.34
140,57,4,2,97.88,0.0,195.76
141,58,43,3,277.53,83.26,749.33
142,58,7,3,243.68,109.66,621.38
143,58,18,3,140.88,21.13,401.51
144,59,12,2,147.57,44.27,250.87
145,59,28,1,96.03,0.0,96.03
146,60,8,2,180.47,36.09,324.85
147,60,23,2,208.08,41.62,374.54
148,60,55,3,478.02,0.0,1434.06
149,61,68,1,310.47,15.52,294.95
150,61,24,2,205.36,0.0,410.72
151,61,9,3,151.74,0.0,455.22
152,62,28,3,96.03,43.21,244.88
153,62,47,3,188.17,0.0,564.51
154,63,34,2,41.41,4.14,78.68
155,63,17,2,144.83,0.0,289.66
156,63,55,3,478.02,0.0,1434.06
157,64,11,2,211.28,63.38,359.18
158,65,4,1,97.88,9.79,88.09
159,65,51,1,236.82,0.0,236.82
160,66,32,1,79.0,0.0,79.0
161,66,31,3,64.68,0.0,194.04
162,66,29,2,93.43,0.0,186.86
163,67,5,2,182.17,18.22,346.12
164,68,9,3,151.74,0.0,455.22
165,68,16,1,110.35,5.52,104.83
166,69,25,3,163.63,0.0,490.89
167,70,44,1,190.78,9.54,181.24
168,70,62,2,159.59,31.92,287.26
169,71,9,1,151.74,0.0,151.74
170,71,71,1,159.04,0.0,159.04
171,71,47,3,188.17,0.0,564.51
172,72,44,3,190.78,57.23,515.11
173,72,10,3,231.22,0.0,693.66
174,72,3,1,93.62,0.0,93.62
175,72,35,3,82.41,0.0,247.23
176,73,11,3,211.28,0.0,633.84
177,73,57,2,107.13,0.0,214.26
178,74,59,3,349.44,0.0,1048.32
179,75,42,2,75.33,15.07,135.59
180,75,28,3,96.03,0.0,288.09
181,75,39,1,49.95,0.0,49.95
182,76,64,1,256.44,38.47,217.97
183,76,5,2,182.17,0.0,364.34
184,77,34,2,41.41,0.0,82.82
185,77,24,3,205.36,30.8,585.28
186,78,4,1,97.88,9.79,88.09
187,78,42,1,75.33,11.3,64.03
188,78,38,1,52.51,0.0,52.51
189,78,20,2,238.82,0.0,477.64
190,78,26,1,183.0,27.45,155.55
191,79,69,1,177.24,0.0,177.24
192,80,53,2,197.26,0.0,394.52
193,80,71,3,159.04,23.86,453.26
194,80,21,1,159.11,0.0,159.11
195,80,7,1,243.68,24.37,219.31
196,81,27,1,68.37,10.26,58.11
197,81,63,3,200.54,0.0,601.62
198,82,25,3,163.63,49.09,441.8
199,82,15,1,154.26,0.0,154.26
200,82,52,2,97.93,9.79,186.07
201,83,65,3,300.59,0.0,901.77
202,83,21,1,159.11,0.0,159.11
203,83,7,2,243.68,0.0,487.36
204,83,19,2,206.87,0.0,413.74
205,84,2,3,122.34,0.0,367.02
206,84,50,2,244.62,0.0,489.24
207,85,21,2,159.11,0.0,318.22
208,85,66,3,234.61,0.0,703.83
209,85,6,1,178.02,17.8,160.22
210,86,11,2,211.28,0.0,422.56
211,86,24,1,205.36,10.27,195.09
212,86,66,2,234.61,70.38,398.84
213,87,13,3,160.7,0.0,482.1
214,88,24,3,205.36,61.61,554.47
215,89,44,1,190.78,0.0,190.78
216,90,50,3,244.62,0.0,733.86
217,90,62,3,159.59,23.94,454.83
218,91,54,2,200.54,0.0,401.08
219,91,63,2,200.54,20.05,381.03
220,91,12,2,147.57,44.27,250.87
221,91,9,2,151.74,15.17,288.31
222,92,2,2,122.34,36.7,207.98
223,93,53,3,197.26,29.59,562.19
224,94,61,2,234.61,46.92,422.3
225,94,13,3,160.7,0.0,482.1
226,94,67,3,310.47,139.71,791.7
227,94,46,3,161.47,48.44,435.97
228,94,36,1,33.65,3.37,30.28
229,95,24,1,205.36,10.27,195.09
230,95,27,3,68.37,30.77,174.34
231,95,53,3,197.26,0.0,591.78
232,96,5,3,182.17,27.33,519.18
233,96,28,2,96.03,19.21,172.85
234,97,31,1,64.68,3.23,61.45
235,97,24,1,205.36,20.54,184.82
236,97,67,2,310.47,0.0,620.94
237,98,20,3,238.82,35.82,680.64
238,98,16,2,110.35,0.0,220.7
239,99,30,1,60.79,9.12,51.67
240,100,18,1,140.88,0.0,140.88
241,100,68,2,310.47,0.0,620.94
242,101,8,1,180.47,18.05,162.42
243,101,32,2,79.0,15.8,142.2
244,101,50,2,244.62,24.46,464.78
245,101,3,1,93.62,0.0,93.62
246,101,29,3,93.43,28.03,252.26
247,102,28,1,96.03,4.8,91.23
248,103,34,2,41.41,12.42,70.4
249,103,67,1,310.47,0.0,310.47
250,103,7,3,243.68,109.66,621.38
251,104,33,2,82.14,0.0,164.28
252,104,2,2,122.34,12.23,232.45
253,104,26,2,183.0,36.6,329.4
254,105,70,2,318.01,95.4,540.62
255,106,64,1,256.44,25.64,230.8
256,107,67,3,310.47,0.0,931.41
257,107,20,2,238.82,47.76,429.88
258,108,26,2,183.0,36.6,329.4
259,108,8,1,180.47,0.0,180.47
260,108,62,3,159.59,47.88,430.89
261,109,31,2,64.68,19.4,109.96
262,109,32,3,79.0,11.85,225.15
263,110,8,3,180.47,0.0,541.41
264,110,3,3,93.62,42.13,238.73
265,110,45,1,206.77,0.0,206.77
266,110,42,3,75.33,0.0,225.99
267,110,48,2,367.71,0.0,735.42
268,111,64,2,256.44,0.0,512.88
269,111,16,3,110.35,0.0,331.05
270,111,60,3,212.72,63.82,574.34
271,111,38,2,52.51,5.25,99.77
272,112,19,1,206.87,10.34,196.53
273,112,71,2,159.04,0.0,318.08
274,112,47,2,188.17,18.82,357.52
275,112,43,2,277.53,27.75,527.31
276,113,5,1,182.17,18.22,163.95
277,113,65,2,300.59,0.0,601.18
278,114,14,3,172.14,77.46,438.96
279,114,28,3,96.03,43.21,244.88
280,115,10,3,231.22,0.0,693.66
281,116,13,2,160.7,32.14,289.26
282,116,47,1,188.17,9.41,178.76
283,116,6,3,178.02,80.11,453.95
284,116,66,3,234.61,35.19,668.64
285,116,69,2,177.24,0.0,354.48
286,117,35,1,82.41,12.36,70.05
287,117,13,1,160.7,0.0,160.7
288,117,32,2,79.0,0.0,158.0
289,117,43,2,277.53,0.0,555.06
290,118,55,2,478.02,95.6,860.44
291,118,63,1,200.54,30.08,170.46
292,118,65,2,300.59,0.0,601.18
293,119,33,2,82.14,0.0,164.28
294,119,12,1,147.57,7.38,140.19
295,119,69,1,177.24,8.86,168.38
296,119,42,1,75.33,11.3,64.03
297,120,33,1,82.14,0.0,82.14
298,120,41,3,50.99,7.65,145.32
299,120,46,1,161.47,16.15,145.32
300,120,54,2,200.54,0.0,401.08
301,121,8,1,180.47,0.0,180.47
302,121,35,1,82.41,0.0,82.41
303,122,47,1,188.17,0.0,188.17
304,123,20,1,238.82,35.82,203.0
305,123,17,3,144.83,65.17,369.32
306,123,30,3,60.79,9.12,173.25
307,124,8,1,180.47,9.02,171.45
308,124,5,1,182.17,18.22,163.95
309,125,63,3,200.54,0.0,601.62
310,125,58,2,183.14,18.31,347.97
311,125,64,1,256.44,0.0,256.44
312,125,26,2,183.0,0.0,366.0
313,126,33,3,82.14,0.0,246.42
314,126,31,2,64.68,0.0,129.36
315,127,41,2,50.99,0.0,101.98
316,128,45,2,206.77,0.0,413.54
317,128,65,2,300.59,0.0,601.18
318,128,55,3,478.02,71.7,1362.36
319,129,64,2,256.44,76.93,435.95
320,129,17,3,144.83,21.72,412.77
321,129,29,3,93.43,42.04,238.25
322,130,18,3,140.88,21.13,401.51
323,130,44,1,190.78,19.08,171.7
324,131,71,3,159.04,0.0,477.12
325,131,19,3,206.87,0.0,620.61
326,131,3,3,93.62,14.04,266.82
327,131,4,1,97.88,14.68,83.2
328,132,15,2,154.26,0.0,308.52
329,132,70,2,318.01,63.6,572.42
330,132,10,2,231.22,0.0,462.44
331,133,52,2,97.93,29.38,166.48
332,133,9,1,151.74,0.0,151.74
333,133,56,1,268.8,26.88,241.92
334,133,8,3,180.47,0.0,541.41
335,133,10,2,231.22,0.0,462.44
336,134,55,1,478.02,47.8,430.22
337,135,32,3,79.0,0.0,237.0
338,136,53,3,197.26,0.0,591.78
339,136,35,1,82.41,4.12,78.29
340,137,23,1,208.08,0.0,208.08
341,137,10,2,231.22,23.12,439.32
342,138,42,3,75.33,22.6,203.39
343,138,41,3,50.99,0.0,152.97
344,139,66,3,234.61,0.0,703.83
345,139,43,1,277.53,0.0,277.53
346,139,34,3,41.41,0.0,124.23
347,140,15,2,154.26,30.85,277.67
348,141,40,1,122.76,12.28,110.48
349,141,24,1,205.36,10.27,195.09
350,142,47,1,188.17,28.23,159.94
351,142,48,2,367.71,110.31,625.11
352,143,44,1,190.78,0.0,190.78
353,143,12,2,147.57,0.0,295.14
354,143,1,2,248.27,0.0,496.54
355,143,31,1,64.68,6.47,58.21
356,144,6,2,178.02,0.0,356.04
357,145,2,2,122.34,0.0,244.68
358,145,46,1,161.47,0.0,161.47
359,145,39,2,49.95,0.0,99.9
360,145,27,2,68.37,0.0,136.74
361,145,18,1,140.88,0.0,140.88
362,146,24,3,205.36,61.61,554.47
363,147,35,2,82.41,24.72,140.1
364,148,19,1,206.87,0.0,206.87
365,148,44,2,190.78,0.0,381.56
366,148,39,1,49.95,2.5,47.45
367,149,9,1,151.74,0.0,151.74
368,150,69,3,177.24,79.76,451.96
369,150,39,1,49.95,0.0,49.95
370,151,2,2,122.34,0.0,244.68
371,151,62,2,159.59,0.0,319.18
372,152,45,2,206.77,41.35,372.19
373,152,12,3,147.57,66.41,376.3
374,153,17,2,144.83,43.45,246.21
375,154,51,1,236.82,11.84,224.98
376,155,61,1,234.61,0.0,234.61
377,156,46,3,161.47,24.22,460.19
378,156,59,3,349.44,157.25,891.07
379,156,67,2,310.47,0.0,620.94
380,157,2,3,122.34,18.35,348.67
381,157,22,3,136.34,40.9,368.12
382,157,7,1,243.68,36.55,207.13
383,158,62,2,159.59,31.92,287.26
384,158,59,1,349.44,52.42,297.02
385,158,12,1,147.57,14.76,132.81
386,158,9,3,151.74,0.0,455.22
387,159,21,2,159.11,15.91,302.31
388,160,3,3,93.62,0.0,280.86
389,160,47,2,188.17,0.0,376.34
390,160,4,1,97.88,4.89,92.99
391,160,24,3,205.36,0.0,616.08
392,161,54,3,200.54,90.24,511.38
393,161,40,2,122.76,36.83,208.69
394,162,62,3,159.59,0.0,478.77
395,163,28,3,96.03,0.0,288.09
396,164,61,3,234.61,0.0,703.83
397,164,31,2,64.68,19.4,109.96
398,165,56,2,268.8,26.88,510.72
399,165,28,1,96.03,0.0,96.03
400,166,69,2,177.24,17.72,336.76
401,166,17,3,144.83,65.17,369.32
402,167,66,2,234.61,0.0,469.22
403,168,23,1,208.08,0.0,208.08
404,168,44,1,190.78,9.54,181.24
405,168,65,-2,300.59,30.06,571.12
406,168,21,2,159.11,47.73,270.49
407,169,32,1,79.0,0.0,79.0
408,170,28,2,96.03,0.0,192.06
409,171,39,1,49.95,5.0,44.95
410,172,50,1,244.62,0.0,244.62
411,172,3,3,93.62,0.0,280.86
412,172,30,2,60.79,0.0,121.58
413,173,41,3,50.99,0.0,152.97
414,174,3,3,93.62,42.13,238.73
415,174,34,3,41.41,18.63,105.6
416,174,50,3,244.62,0.0,733.86
417,175,26,3,183.0,82.35,466.65
418,176,37,1,63.47,6.35,57.12
419,176,64,2,256.44,25.64,487.24
420,176,69,3,177.24,26.59,505.13
421,176,8,1,180.47,0.0,180.47
422,176,63,2,200.54,0.0,401.08
423,177,32,1,79.0,0.0,79.0
424,177,25,2,163.63,49.09,278.17
425,177,33,3,82.14,0.0,246.42
426,178,20,3,238.82,0.0,716.46
427,178,16,2,110.35,0.0,220.7
428,179,57,3,107.13,0.0,321.39
429,179,38,2,52.51,0.0,105.02
430,179,23,3,208.08,93.64,530.6
431,179,63,1,200.54,0.0,200.54
432,180,33,3,82.14,36.96,209.46
433,180,43,2,277.53,0.0,555.06
434,181,41,3,50.99,15.3,137.67
435,181,14,1,172.14,8.61,163.53
436,182,20,1,238.82,35.82,203.0
437,183,31,3,64.68,0.0,194.04
438,183,3,3,93.62,28.09,252.77
439,184,1,3,248.27,111.72,633.09
440,184,8,3,180.47,27.07,514.34
441,185,34,1,41.41,0.0,41.41
442,185,64,2,256.44,25.64,487.24
443,186,52,2,97.93,9.79,186.07
444,186,17,3,144.83,43.45,391.04
445,186,64,2,256.44,0.0,512.88
446,186,25,1,163.63,16.36,147.27
447,187,37,1,63.47,0.0,63.47
448,187,20,2,238.82,23.88,453.76
449,187,3,3,93.62,0.0,280.86
450,188,71,2,159.04,15.9,302.18
451,188,64,1,256.44,38.47,217.97
452,188,5,3,182.17,0.0,546.51
453,189,59,3,349.44,157.25,891.07
454,189,50,1,244.62,0.0,244.62
455,189,69,2,177.24,17.72,336.76
456,190,11,1,211.28,10.56,200.72
457,191,58,1,183.14,27.47,155.67
458,191,38,1,52.51,0.0,52.51
459,191,45,1,206.77,31.02,175.75
460,192,52,1,97.93,0.0,97.93
461,192,70,1,318.01,47.7,270.31
462,193,70,2,318.01,0.0,636.02
463,193,6,2,178.02,53.41,302.63
464,193,39,1,49.95,7.49,42.46
465,194,39,1,49.95,0.0,49.95
466,195,66,1,234.61,0.0,234.61
467,195,26,3,183.0,54.9,494.1
468,195,7,1,243.68,12.18,231.5
469,195,62,2,159.59,31.92,287.26
470,196,58,2,183.14,54.94,311.34
471,196,33,2,82.14,0.0,164.28
472,196,11,3,211.28,0.0,633.84
473,197,63,1,200.54,0.0,200.54
474,197,24,3,205.36,61.61,554.47
475,198,30,3,60.79,0.0,182.37
476,199,11,2,211.28,0.0,422.56
477,199,34,1,41.41,0.0,41.41
478,199,37,2,63.47,19.04,107.9
479,200,71,2,159.04,15.9,302.18
480,200,46,2,161.47,0.0,322.94
481,200,58,2,183.14,0.0,366.28
482,200,9,2,151.74,0.0,303.48
483,200,8,2,180.47,54.14,306.8
484,201,9,3,151.74,0.0,455.22
485,202,38,1,52.51,0.0,52.51
486,202,22,1,136.34,0.0,136.34
487,203,39,3,49.95,0.0,149.85
488,203,65,2,300.59,0.0,601.18
489,204,18,2,140.88,0.0,281.76
490,204,67,3,310.47,93.14,838.27
491,205,26,2,183.0,0.0,366.0
492,206,53,2,197.26,0.0,394.52
493,206,10,3,231.22,69.37,624.29
494,207,53,2,197.26,59.18,335.34
495,207,35,3,82.41,37.08,210.15
496,207,54,2,200.54,0.0,401.08
497,208,36,2,33.65,0.0,67.3
498,208,60,2,212.72,0.0,425.44
499,209,23,2,208.08,20.81,395.35
500,209,43,2,277.53,83.26,471.8
501,210,11,3,211.28,31.69,602.15
502,210,25,3,163.63,24.54,466.35
503,210,69,2,177.24,17.72,336.76
504,211,36,3,33.65,0.0,100.95
505,212,58,1,183.14,18.31,164.83
506,212,1,1,248.27,0.0,248.27
507,213,38,3,52.51,0.0,157.53
508,213,8,2,180.47,18.05,342.89
509,214,6,2,178.02,35.6,320.44
510,215,62,3,159.59,0.0,478.77
511,215,39,1,49.95,0.0,49.95
512,215,63,1,200.54,30.08,170.46
513,216,63,3,200.54,0.0,601.62
514,216,59,3,349.44,52.42,995.9
515,216,18,3,140.88,42.26,380.38
516,216,60,1,212.72,21.27,191.45
517,217,40,1,122.76,0.0,122.76
518,217,7,1,243.68,0.0,243.68
519,217,26,2,183.0,0.0,366.0
520,217,55,1,478.02,0.0,478.02
521,218,64,1,256.44,0.0,256.44
522,218,15,2,154.26,30.85,277.67
523,218,71,2,159.04,15.9,302.18
524,219,51,2,236.82,0.0,473.64
525,219,22,2,136.34,0.0,272.68
526,220,30,1,60.79,0.0,60.79
527,220,66,2,234.61,46.92,422.3
528,221,61,1,234.61,0.0,234.61
529,221,1,3,248.27,111.72,633.09
530,221,68,3,310.47,46.57,884.84
531,221,54,2,200.54,40.11,360.97
532,221,66,1,234.61,0.0,234.61
533,222,46,1,161.47,24.22,137.25
534,222,55,3,478.02,71.7,1362.36
535,223,4,2,97.88,9.79,185.97
536,223,69,2,177.24,17.72,336.76
537,223,2,3,122.34,55.05,311.97
538,223,1,2,248.27,24.83,471.71
539,224,56,3,268.8,0.0,806.4
540,224,55,3,478.02,0.0,1434.06
541,225,41,1,50.99,5.1,45.89
542,225,29,1,93.43,0.0,93.43
543,226,22,1,136.34,20.45,115.89
544,226,20,2,238.82,23.88,453.76
545,227,8,3,180.47,0.0,541.41
546,227,69,1,177.24,0.0,177.24
547,228,26,1,183.0,0.0,183.0
548,228,52,1,97.93,9.79,88.14
549,229,62,3,159.59,71.82,406.95
550,230,5,3,182.17,0.0,546.51
551,230,39,3,49.95,22.48,127.37
552,230,34,3,41.41,0.0,124.23
553,231,33,3,82.14,0.0,246.42
554,232,53,2,197.26,0.0,394.52
555,232,55,1,478.02,0.0,478.02
556,233,17,3,144.83,0.0,434.49
557,233,26,2,183.0,18.3,347.7
558,234,35,1,82.41,4.12,78.29
559,234,31,3,64.68,0.0,194.04
560,235,46,2,161.47,0.0,322.94
561,235,37,1,63.47,3.17,60.3
562,236,64,2,256.44,25.64,487.24
563,236,21,1,159.11,23.87,135.24
564,236,55,1,478.02,71.7,406.32
565,237,46,3,161.47,0.0,484.41
566,237,30,2,60.79,0.0,121.58
567,237,8,3,180.47,27.07,514.34
568,237,61,3,234.61,0.0,703.83
569,238,9,1,151.74,15.17,136.57
570,239,65,2,300.59,30.06,571.12
571,239,50,2,244.62,0.0,489.24
572,239,48,2,367.71,0.0,735.42
573,239,64,2,256.44,51.29,461.59
574,240,20,1,238.82,0.0,238.82
575,241,23,2,208.08,0.0,416.16
576,242,23,1,208.08,10.4,197.68
577,242,13,2,160.7,48.21,273.19
578,243,30,2,60.79,0.0,121.58
579,244,44,2,190.78,38.16,343.4
580,244,15,2,154.26,15.43,293.09
581,244,32,1,79.0,3.95,75.05
582,245,31,2,64.68,0.0,129.36
583,246,30,1,60.79,0.0,60.79
584,247,32,1,79.0,3.95,75.05
585,248,59,2,349.44,0.0,698.88
586,248,53,2,197.26,39.45,355.07
587,249,38,3,52.51,0.0,157.53
588,249,41,1,50.99,7.65,43.34
589,250,63,3,200.54,60.16,541.46
590,251,33,3,82.14,24.64,221.78
591,252,21,2,159.11,0.0,318.22
592,252,3,1,93.62,4.68,88.94
593,252,56,1,268.8,13.44,255.36
594,253,31,3,64.68,0.0,194.04
595,254,44,1,190.78,28.62,162.16
596,255,33,2,82.14,16.43,147.85
597,255,54,1,200.54,0.0,200.54
598,255,64,1,256.44,0.0,256.44
599,255,15,3,154.26,23.14,439.64
600,255,38,3,52.51,7.88,149.65
601,256,48,2,367.71,0.0,735.42
602,256,47,3,188.17,28.23,536.28
603,257,6,2,178.02,0.0,356.04
604,258,34,2,41.41,12.42,70.4
605,259,46,1,161.47,16.15,145.32
606,259,4,3,97.88,0.0,293.64
607,259,6,2,178.02,0.0,356.04
608,260,14,1,172.14,25.82,146.32
609,261,7,2,243.68,48.74,438.62
610,262,37,3,63.47,19.04,171.37
611,263,2,1,122.34,0.0,122.34
612,264,67,3,310.47,46.57,884.84
613,264,61,2,234.61,0.0,469.22
614,265,59,3,349.44,0.0,1048.32
615,265,69,2,177.24,17.72,336.76
616,265,46,1,161.47,0.0,161.47
617,265,70,1,318.01,0.0,318.01
618,266,47,1,188.17,9.41,178.76
619,267,43,3,277.53,0.0,832.59
620,268,48,1,367.71,0.0,367.71
621,268,64,1,256.44,25.64,230.8
622,268,17,3,144.83,65.17,369.32
623,269,63,2,200.54,40.11,360.97
624,269,27,1,68.37,0.0,68.37
625,269,1,2,248.27,74.48,422.06
626,269,23,1,208.08,0.0,208.08
627,270,15,1,154.26,15.43,138.83
628,270,16,1,110.35,0.0,110.35
629,270,71,3,159.04,23.86,453.26
630,271,69,2,177.24,0.0,354.48
631,271,35,3,82.41,37.08,210.15
632,272,65,2,300.59,60.12,541.06
633,273,3,2,93.62,28.09,159.15
634,273,14,3,172.14,25.82,490.6
635,273,12,2,147.57,0.0,295.14
636,273,22,1,136.34,20.45,115.89
637,273,71,2,159.04,0.0,318.08
638,274,57,2,107.13,0.0,214.26
639,274,31,2,64.68,6.47,122.89
640,275,48,3,367.71,110.31,992.82
641,275,65,3,300.59,0.0,901.77
642,275,60,2,212.72,0.0,425.44
643,275,62,3,159.59,0.0,478.77
644,275,22,1,136.34,0.0,136.34
645,276,69,3,177.24,26.59,505.13
646,276,45,3,206.77,93.05,527.26
647,276,33,3,82.14,0.0,246.42
648,276,24,3,205.36,0.0,616.08
649,276,39,3,49.95,22.48,127.37
650,277,40,2,122.76,12.28,233.24
651,277,14,1,172.14,25.82,146.32
652,277,10,1,231.22,0.0,231.22
653,278,68,1,310.47,15.52,294.95
654,279,27,3,68.37,20.51,184.6
655,279,3,2,93.62,28.09,159.15
656,280,47,2,188.17,0.0,376.34
657,280,16,1,110.35,11.04,99.31
658,281,46,3,161.47,0.0,484.41
659,282,10,2,231.22,0.0,462.44
660,283,12,3,147.57,44.27,398.44
661,283,3,2,93.62,0.0,187.24
662,284,60,1,212.72,31.91,180.81
663,285,14,1,172.14,0.0,172.14
664,285,8,3,180.47,81.21,460.2
665,286,39,1,49.95,7.49,42.46
666,286,3,-1,93.62,0.0,93.62
667,286,14,2,172.14,0.0,344.28
668,287,52,2,97.93,0.0,195.86
669,287,3,3,93.62,14.04,266.82
670,288,64,1,256.44,0.0,256.44
671,289,46,1,161.47,0.0,161.47
672,289,19,1,206.87,0.0,206.87
673,290,40,3,122.76,0.0,368.28
674,291,44,1,190.78,19.08,171.7
675,291,34,2,41.41,12.42,70.4
676,291,45,2,206.77,41.35,372.19
677,291,5,1,182.17,9.11,173.06
678,291,30,1,60.79,9.12,51.67
679,292,35,2,82.41,16.48,148.34
680,292,6,1,178.02,0.0,178.02
681,293,6,2,178.02,53.41,302.63
682,294,23,2,208.08,62.42,353.74
683,294,5,3,182.17,0.0,546.51
684,294,12,3,147.57,66.41,376.3
685,295,38,1,52.51,7.88,44.63
686,295,12,3,147.57,66.41,376.3
687,295,16,1,110.35,11.04,99.31
688,295,70,2,318.01,31.8,604.22
689,295,42,3,75.33,0.0,225.99
690,296,54,3,200.54,0.0,601.62
691,296,60,1,212.72,0.0,212.72
692,296,29,2,93.43,0.0,186.86
693,297,70,2,318.01,95.4,540.62
694,298,61,1,234.61,23.46,211.15
